Foley Board of Utilities,AL,Publicly Owned," 6,300 "," 21,106 "," 277,807 ",7.60
Fort Payne Improvement Auth,AL,Publicly Owned," 1,983 "," 13,194 "," 212,819 ",6.20
Franklin Electric Coop,AL,Cooperative," 1,019 "," 4,479 "," 53,176 ",8.42
Guntersville Electric Board,AL,Publicly Owned," 1,574 "," 5,099 "," 74,024 ",6.89
Hartford City of,AL,Publicly Owned, 164 , 652 ," 9,677 ",6.74
Huntsville City of,AL,Publicly Owned," 18,129 "," 92,508 "," 1,529,975 ",6.05
Joe Wheeler Elec Member Corp,AL,Cooperative," 7,744 "," 19,413 "," 234,696 ",8.27
Marshall-De Kalb Electric Coop,AL,Cooperative," 2,997 "," 9,621 "," 135,346 ",7.11
North Alabama Electric Coop,AL,Cooperative," 3,346 "," 5,442 "," 69,836 ",7.79
Opp City of,AL,Publicly Owned," 1,066 "," 1,250 "," 12,030 ",10.39
Pea River Electric Coop,AL,Cooperative," 3,326 "," 5,351 "," 61,864 ",8.65
"Pioneer Electric Coop, Inc",AL,Cooperative," 1,205 "," 2,987 "," 28,002 ",10.67
Sand Mountain Electric Coop,AL,Cooperative," 5,212 "," 12,915 "," 166,665 ",7.75
Sheffield Utilities,AL,Publicly Owned," 3,212 "," 9,721 "," 128,141 ",7.59
Singing River Elec Pwr Assn,AL,Cooperative, 15 , 33 , 422 ,7.82
"South Alabama Elec Coop, Inc",AL,Cooperative, 739 ," 2,952 "," 37,012 ",7.98
"Southern Pine Elec Coop, Inc",AL,Cooperative," 1,678 "," 4,665 "," 57,478 ",8.12
Sylacauga Utilities Board,AL,Publicly Owned," 1,924 "," 4,182 "," 53,382 ",7.83
Tallapoosa River Elec Coop Inc,AL,Cooperative, 827 ," 2,484 "," 31,412 ",7.91
"Tombigbee Electric Coop, Inc",AL,Cooperative," 1,317 "," 1,299 "," 15,343 ",8.47
"Wiregrass Electric Coop, Inc",AL,Cooperative, 662 ," 1,910 "," 23,204 ",8.23
Akiachak Native Community Electric Co,AK,Cooperative, 36 , 210 , 582 ,36.08
Alaska Electric Light & Pwr Co,AK,Investor Owned," 2,082 "," 9,083 "," 121,868 ",7.45
Alaska Power Co,AK,Investor Owned," 1,930 "," 7,690 "," 39,879 ",19.28
"Alaska Village Elec Coop, Inc",AK,Cooperative," 1,449 "," 12,361 "," 34,676 ",35.65
Anchorage Municipality of,AK,Publicly Owned," 5,992 "," 60,483 "," 741,488 ",8.16
Andreanof Electric Corp,AK,Investor Owned, 8 , 99 , 205 ,48.29
Aniak Light & Power Co Inc,AK,Investor Owned, 41 , 483 ," 1,102 ",43.83
Atmautluak Tribal Utilities,AK,Publicly Owned, 6 , 72 , 235 ,30.64
"Barrow Utils & Elec Coop, Inc",AK,Cooperative, 407 ," 2,896 "," 34,000 ",8.52
Bethel Utilities Corp,AK,Investor Owned, 939 ," 7,038 "," 29,278 ",24.04
Central Electric Inc,AK,Investor Owned, 18 , 107 , 219 ,48.86
Chitina Electric Inc,AK,Investor Owned, 28 , 83 , 289 ,28.72
Chugach Electric Assn Inc,AK,Cooperative," 8,202 "," 51,366 "," 587,798 ",8.74
City of Chefornak,AK,Publicly Owned, 27 , 94 , 239 ,39.33
City of Chignik,AK,Publicly Owned, 29 , 128 , 350 ,36.57
City of Elfin Cove,AK,Publicly Owned, 30 , 45 , 165 ,27.27
City of King Cove,AK,Publicly Owned, 194 , 528 ," 2,574 ",20.51
City of Kotlik,AK,Publicly Owned, 25 , 271 , 792 ,34.22
City of Larsen Bay,AK,Publicly Owned, 38 , 145 , 290 ,50.00
City of Manokotak,AK,Publicly Owned, 38 , 108 , 316 ,34.18
City of Ouzinkie,AK,Publicly Owned, 7 , 103 , 289 ,35.64
City of Petersburg,AK,Publicly Owned, 633 , 736 ," 7,014 ",10.49
City of Saint Paul,AK,Publicly Owned, 26 , 360 ," 1,072 ",33.58
City of Tenakee Springs,AK,Publicly Owned, 36 , 54 , 168 ,32.14
City of Unalaska,AK,Publicly Owned, 169 ," 2,540 "," 12,072 ",21.04
City of White Mountain,AK,Publicly Owned, 27 , 164 , 407 ,40.29
City of Wrangell,AK,Publicly Owned, 472 ," 1,386 "," 14,371 ",9.64
"Copper Valley Elec Assn, Inc",AK,Cooperative, 754 ," 7,562 "," 46,623 ",16.22
"Cordova Electric Coop, Inc",AK,Cooperative, 708 ," 2,631 "," 11,386 ",23.11
Egegik Light & Power Co,AK,Investor Owned, 41 , 195 , 352 ,55.40
"G & K, Inc",AK,Investor Owned, 48 , 978 ," 2,107 ",46.42
Galena Electric Utility,AK,Publicly Owned, 87 , 517 ," 1,942 ",26.62
Golden Valley Electric Assn Inc,AK,Cooperative," 5,469 "," 12,566 "," 134,977 ",9.31
Gustavus Electric Inc,AK,Investor Owned, 107 , 301 , 631 ,47.70
Gwitchyaa Zhee Utility Co,AK,Investor Owned, 69 , 267 , 786 ,33.97
Homer Electric Assn Inc,AK,Cooperative," 3,436 "," 16,292 "," 167,954 ",9.70
Hughes Power & Light Co,AK,Investor Owned, 9 , 54 , 106 ,50.94
Igiugig Electric Company,AK,Publicly Owned, 18 , 74 , 138 ,53.62
"I-N-N Electric Coop, Inc",AK,Cooperative, 105 , 559 ," 1,170 ",47.78
Ipnatchiaq Electric Company,AK,Publicly Owned, 19 , 140 , 385 ,36.36
Ketchikan City of,AK,Publicly Owned," 1,100 "," 5,836 "," 65,332 ",8.93
Kokhanok Village Council,AK,Publicly Owned, 14 , 48 , 86 ,55.81
Kotzebue Electric Assn Inc,AK,Cooperative, 137 ," 2,843 "," 12,746 ",22.31
Kuiggluum Kallugvia,AK,Investor Owned, 5 , 175 , 410 ,42.68
Kwig Power Company,AK,Publicly Owned, 20 , 93 , 193 ,48.19
Manley Utility Co Inc,AK,Investor Owned, 15 , 88 , 136 ,64.71
Matanuska Electric Assn Inc,AK,Cooperative," 3,057 "," 17,929 "," 213,014 ",8.42
McGrath Light & Power Co,AK,Investor Owned, 79 , 607 ," 1,731 ",35.07
Metlakatla Power & Light,AK,Publicly Owned, 260 , 823 ," 7,513 ",10.95
Middle Kuskokwim Elec Coop Inc,AK,Cooperative, 62 , 291 , 430 ,67.67
"Naknek Electric Assn, Inc",AK,Cooperative, 320 ," 2,874 "," 14,361 ",20.01
Napakiak Ircinraq Power Co,AK,Investor Owned, 23 , 100 , 192 ,52.08
Native Village of Perryville,AK,Publicly Owned, 5 , 50 , 174 ,28.74
Nelson Lagoon Elec Coop Inc,AK,Cooperative, 11 , 54 , 119 ,45.38
Nome Joint Utility Systems,AK,Publicly Owned, 374 ," 3,233 "," 17,382 ",18.60
North Slope Borough Power & Light,AK,Publicly Owned, 529 ," 7,111 "," 21,698 ",32.77
"Nushagak Electric Coop, Inc",AK,Cooperative, 324 ," 1,960 "," 8,719 ",22.48
Paxson Inn & Lodge,AK,Investor Owned, 6 , 54 , 216 ,25.00
Pedro Bay Village Council,AK,Publicly Owned, 10 , 59 , 111 ,53.15
Pelican Utility,AK,Investor Owned, 76 , 67 , 422 ,15.88
Seward City of,AK,Publicly Owned, 460 ," 2,264 "," 17,343 ",13.05
Sitka City & Borough of,AK,Publicly Owned, 736 ," 4,911 "," 53,766 ",9.13
Tanana Power Co Inc,AK,Investor Owned, 18 , 336 , 708 ,47.46
Tatitlek Electric Utility,AK,Publicly Owned, 19 , 85 , 218 ,38.99
TDX North Slope Generating Co,AK,Power Marketer, 54 ," 3,814 "," 24,616 ",15.49
"Teller Power Company, Inc",AK,Investor Owned, 27 , 228 , 444 ,51.35
Tlingit & Haida Region El Auth,AK,Publicly Owned, 186 ," 1,260 "," 4,755 ",26.50
Tuntutuliak Comm Services Assn,AK,Cooperative, 14 , 115 , 288 ,39.93
Unalakleet Valley Elec Coop,AK,Cooperative, 71 , 541 ," 2,170 ",24.93
Yakutat Power Inc,AK,Publicly Owned, 72 , 790 ," 3,440 ",22.97
Ajo Improvement Company,AZ,Investor Owned, 131 , 469 ," 4,864 ",9.64
Ak-Chin Electric Utility Auth,AZ,Publicly Owned, 70 ," 1,393 "," 20,273 ",6.87
Arizona Public Service Co,AZ,Investor Owned," 99,415 "," 823,463 "," 11,066,410 ",7.44
City of Fredonia,AZ,Publicly Owned, 83 , 156 ," 2,581 ",6.04
City of Mesa,AZ,Publicly Owned," 2,655 "," 16,070 "," 208,373 ",7.71
City of Safford,AZ,Publicly Owned, 562 ," 2,952 "," 32,098 ",9.20
Colorado River Indian Irr Proj,AZ,Federal, 653 ," 2,933 "," 37,876 ",7.74
"Columbus Electric Coop, Inc",AZ,Cooperative, 50 , 235 ," 2,607 ",9.01
"Dixie Escalante R E A, Inc",AZ,Cooperative, 177 , 339 ," 6,535 ",5.19
"Duncan Valley Elec Coop, Inc",AZ,Cooperative, 292 , 430 ," 5,702 ",7.54
Electrical Dist No2 Pinal Cnty,AZ,Publicly Owned, 739 ," 5,191 "," 129,112 ",4.02
Electrical Dist No3 Pinal Cnty,AZ,Publicly Owned, 859 ," 5,135 "," 187,131 ",2.74
Electrical Dist No4 Pinal Cnty,AZ,Publicly Owned, 252 ," 1,722 "," 78,311 ",2.20
Electrical Dist No5 Pinal Cnty,AZ,Publicly Owned, 84 , 164 ," 2,252 ",7.28
"Garkane Energy Coop, Inc",AZ,Cooperative, 117 , 437 ," 5,471 ",7.99
Graham County Electric Coop Inc,AZ,Cooperative," 1,160 "," 5,418 "," 62,388 ",8.68
Hohokam Irr & Drain Dist,AZ,Publicly Owned, 44 , 292 ," 5,003 ",5.84
"Mohave Electric Coop, Inc",AZ,Cooperative," 3,370 "," 13,791 "," 191,120 ",7.22
Morenci Water & Electric Co,AZ,Investor Owned, 239 ," 1,456 "," 14,193 ",10.26
Navajo Tribal Utility Auth,AZ,Publicly Owned," 3,015 "," 12,240 "," 173,930 ",7.04
"Navopache Electric Coop, Inc",AZ,Cooperative," 3,146 "," 10,302 "," 132,021 ",7.80
Page Electric Utility,AZ,Publicly Owned, 750 ," 4,228 "," 60,604 ",6.98
Salt River Project,AZ,Publicly Owned," 75,103 "," 611,789 "," 9,515,561 ",6.43
Sulphur Springs Valley E C Inc,AZ,Cooperative," 8,438 "," 26,286 "," 289,185 ",9.09
Tohono O'Odham Utility Auth,AZ,Publicly Owned, 572 ," 4,069 "," 37,328 ",10.90
Town of Thatcher,AZ,Publicly Owned, 153 ," 1,081 "," 12,501 ",8.65
Town of Wickenburg,AZ,Publicly Owned, 379 ," 1,407 "," 16,515 ",8.52
Trico Electric Coop Inc,AZ,Cooperative," 1,294 "," 11,286 "," 113,340 ",9.96
Tucson Electric Power Co,AZ,Investor Owned," 35,289 "," 193,336 "," 1,928,205 ",10.03
UNS Electric Inc,AZ,Power Marketer," 8,550 "," 20,947 "," 207,577 ",10.09
USBIA-San Carlos Project,AZ,Federal," 2,261 "," 13,299 "," 182,122 ",7.30
Wellton-Mohawk Irr & Drain Dist,AZ,Publicly Owned, 611 ," 2,816 "," 44,738 ",6.29
Western Area Power Administration,AZ,Federal, 26 ," 8,077 "," 648,613 ",1.25
Arkansas Valley Elec Coop Corp,AR,Cooperative," 3,033 "," 7,442 "," 113,145 ",6.58
"Ashley Chicot Elec Coop, Inc",AR,Cooperative, 988 ," 2,267 "," 26,412 ",8.58
Benton City of,AR,Publicly Owned," 1,760 "," 5,236 "," 79,119 ",6.62
C & L Electric Coop Corp,AR,Cooperative," 2,117 "," 5,005 "," 65,781 ",7.61
Carroll Electric Coop Corp,AR,Cooperative," 4,091 "," 12,574 "," 225,584 ",5.57
City of Augusta,AR,Publicly Owned, 135 , 574 ," 8,606 ",6.67
City of Bentonville,AR,Publicly Owned," 2,603 "," 9,614 "," 289,379 ",3.32
City of Hope,AR,Publicly Owned," 1,104 "," 7,707 "," 137,000 ",5.63
City of North Little Rock,AR,Publicly Owned," 4,717 "," 20,905 "," 256,831 ",8.14
City of Osceola,AR,Publicly Owned, 626 ," 1,736 "," 20,413 ",8.50
City of Paris,AR,Publicly Owned, 261 , 792 ," 9,835 ",8.05
City of Prescott,AR,Publicly Owned, 290 ," 1,252 "," 16,760 ",7.47
City of Siloam Springs,AR,Publicly Owned, 810 ," 1,509 "," 23,203 ",6.50
City of West Memphis,AR,Publicly Owned," 1,478 "," 11,090 "," 214,096 ",5.18
Clarksville Light & Water Co,AR,Publicly Owned, 685 ," 1,942 "," 29,343 ",6.62
Clay County Electric Coop Corp,AR,Cooperative," 1,320 "," 4,670 "," 55,700 ",8.38
Conway Corporation,AR,Publicly Owned," 2,422 "," 7,746 "," 135,436 ",5.72
Craighead Electric Coop Corp,AR,Cooperative," 4,456 "," 6,662 "," 93,738 ",7.11
Empire District Electric Co,AR,Investor Owned, 720 ," 2,002 "," 31,833 ",6.29
Entergy Arkansas Inc,AR,Investor Owned," 81,293 "," 306,228 "," 5,593,868 ",5.47
Farmers Electric Coop Corp,AR,Cooperative, 545 , 950 ," 17,665 ",5.38
First Electric Coop Corp,AR,Cooperative," 3,966 "," 10,971 "," 151,362 ",7.25
Jonesboro City of,AR,Publicly Owned," 4,459 "," 13,680 "," 272,715 ",5.02
Mississippi County Electric Coop,AR,Cooperative, 775 ," 1,166 "," 20,460 ",5.70
"North Arkansas Elec Coop, Inc",AR,Cooperative," 2,570 "," 6,207 "," 87,435 ",7.10
Oklahoma Gas & Electric Co,AR,Investor Owned," 9,389 "," 40,754 "," 830,766 ",4.91
Ouachita Electric Coop Corp,AR,Cooperative, 903 ," 4,049 "," 66,281 ",6.11
Ozarks Electric Coop Corp,AR,Cooperative," 1,625 "," 4,439 "," 63,626 ",6.98
Paragould Light & Water Comm,AR,Publicly Owned," 2,921 "," 4,350 "," 89,297 ",4.87
Petit Jean Electric Coop Corp,AR,Cooperative," 1,408 "," 3,355 "," 51,889 ",6.47
Piggott City of,AR,Publicly Owned, 291 , 375 ," 5,363 ",6.99
"Rich Mountain Elec Coop, Inc",AR,Cooperative, 351 , 815 ," 12,631 ",6.45
"South Central Ark El Coop, Inc",AR,Cooperative, 530 ," 1,220 "," 15,619 ",7.81
Southwest Arkansas E C C,AR,Cooperative," 1,700 "," 4,334 "," 66,033 ",6.56
Southwestern Electric Power Co,AR,Investor Owned," 15,845 "," 67,698 "," 1,336,324 ",5.07
Woodruff Electric Coop Corp,AR,Cooperative, 700 ," 3,775 "," 54,471 ",6.93
Anza Electric Coop Inc,CA,Cooperative, 285 ," 1,891 "," 12,038 ",15.71
Banning City of,CA,Publicly Owned," 1,149 "," 7,615 "," 62,189 ",12.24
City of Alameda,CA,Publicly Owned," 3,709 "," 21,424 "," 200,032 ",10.71
City of Anaheim,CA,Publicly Owned," 16,224 "," 68,848 "," 663,984 ",10.37
City of Azusa,CA,Publicly Owned," 1,650 "," 10,802 "," 81,267 ",13.29
City of Biggs,CA,Publicly Owned, 63 , 172 ," 2,158 ",7.97
City of Burbank,CA,Publicly Owned," 6,725 "," 36,086 "," 271,918 ",13.27
City of Colton,CA,Publicly Owned," 2,096 "," 12,399 "," 96,226 ",12.89
City of Corona DWP,CA,Publicly Owned, 39 , 339 ," 2,522 ",13.44
City of Glendale,CA,Publicly Owned," 12,330 "," 51,401 "," 334,082 ",15.39
City of Gridley,CA,Publicly Owned, 410 ," 2,227 "," 11,369 ",19.59
City of Lodi,CA,Publicly Owned," 3,776 "," 24,798 "," 192,702 ",12.87
City of Lompoc,CA,Publicly Owned," 1,389 "," 4,460 "," 40,230 ",11.09
City of Needles,CA,Publicly Owned, 483 ," 1,907 "," 24,962 ",7.64
City of Palo Alto,CA,Publicly Owned," 3,480 "," 34,323 "," 467,268 ",7.35
City of Pasadena,CA,Publicly Owned," 7,185 "," 16,959 "," 155,222 ",10.93
City of Redding,CA,Publicly Owned," 6,033 "," 30,224 "," 346,353 ",8.73
City of Riverside,CA,Publicly Owned," 9,543 "," 58,797 "," 534,110 ",11.01
City of Roseville,CA,Publicly Owned," 5,071 "," 29,243 "," 374,205 ",7.81
City of Santa Clara,CA,Publicly Owned," 6,234 "," 11,021 "," 102,650 ",10.74
City of Shasta Lake,CA,Publicly Owned, 359 ," 1,469 "," 10,842 ",13.55
City of Ukiah,CA,Publicly Owned," 1,703 "," 5,758 "," 38,712 ",14.87
City of Vernon,CA,Publicly Owned," 1,174 "," 23,238 "," 287,820 ",8.07
Healdsburg City of,CA,Publicly Owned, 955 ," 4,607 "," 40,527 ",11.37
Imperial Irrigation District,CA,Publicly Owned," 16,566 "," 141,286 "," 1,433,108 ",9.86
Lassen Municipal Utility District,CA,Publicly Owned," 1,416 "," 6,218 "," 49,348 ",12.60
Los Angeles City of,CA,Publicly Owned," 296,512 "," 1,207,051 "," 12,640,270 ",9.55
Merced Irrigation District,CA,Publicly Owned, 870 ," 18,031 "," 177,147 ",10.18
Modesto Irrigation District,CA,Publicly Owned," 13,719 "," 64,380 "," 802,456 ",8.02
Pacific Gas & Electric Co,CA,Investor Owned," 595,793 "," 3,224,014 "," 22,134,150 ",14.57
PacifiCorp,CA,Investor Owned," 7,411 "," 23,841 "," 289,235 ",8.24
Plumas-Sierra Rural Elec Coop,CA,Cooperative, 634 ," 1,091 "," 10,781 ",10.12
Sacramento Municipal Util Dist,CA,Publicly Owned," 49,907 "," 71,125 "," 707,203 ",10.06
San Diego Gas & Electric Co,CA,Investor Owned," 136,862 "," 684,282 "," 4,244,814 ",16.12
San Francisco City & County of,CA,Publicly Owned, 1 , 411 ," 8,991 ",4.57
Sierra Pacific Power Co,CA,Investor Owned," 4,968 "," 16,069 "," 153,891 ",10.44
Southern California Edison Co,CA,Investor Owned," 508,185 "," 3,592,150 "," 25,574,334 ",14.05
Southern California Water Co,CA,Investor Owned," 1,634 "," 9,796 "," 47,038 ",20.83
Surprise Valley Electrification Corp.,CA,Cooperative, 770 , 574 ," 7,646 ",7.51
Trinity Public Utilities Dist,CA,Publicly Owned," 1,119 "," 2,095 "," 27,396 ",7.65
Truckee Donner P U D,CA,Publicly Owned," 1,331 "," 8,836 "," 59,861 ",14.76
Tuolumne County Pub Power Agny,CA,Publicly Owned, 28 ," 1,765 "," 25,550 ",6.91
Turlock Irrigation District,CA,Publicly Owned," 20,897 "," 30,738 "," 387,512 ",7.93
"Valley Electric Assn, Inc",CA,Cooperative, 19 , 468 ," 6,969 ",6.72
Western Area Power Administration,CA,Federal, 47 ," 40,109 "," 1,763,376 ",2.27
Aquila Inc,CO,Investor Owned," 11,310 "," 44,523 "," 675,719 ",6.59
City of Aspen,CO,Publicly Owned, 798 ," 2,554 "," 22,669 ",11.27
City of Burlington,CO,Publicly Owned, 200 , 508 ," 4,414 ",11.51
City of Center,CO,Publicly Owned, 140 , 155 ," 2,362 ",6.56
City of Delta,CO,Publicly Owned, 457 ," 1,062 "," 12,984 ",8.18
City of Fort Morgan,CO,Publicly Owned," 1,010 "," 3,097 "," 51,515 ",6.01
City of Fountain,CO,Publicly Owned, 844 ," 2,735 "," 27,952 ",9.78
City of Gunnison,CO,Publicly Owned, 775 ," 1,397 "," 29,055 ",4.81
City of Holyoke,CO,Publicly Owned, 227 , 264 ," 4,767 ",5.54
City of Julesburg,CO,Publicly Owned, 151 , 442 ," 5,773 ",7.66
City of La Junta,CO,Publicly Owned," 1,022 "," 1,266 "," 12,343 ",10.26
City of Lamar,CO,Publicly Owned," 1,497 "," 4,302 "," 53,918 ",7.98
City of Longmont,CO,Publicly Owned," 4,115 "," 15,023 "," 328,097 ",4.58
City of Loveland,CO,Publicly Owned," 3,137 "," 3,618 "," 71,031 ",5.09
City of Springfield,CO,Publicly Owned, 193 , 249 ," 2,995 ",8.31
City of Trinidad,CO,Publicly Owned, 628 ," 2,110 "," 25,822 ",8.17
City of Wray,CO,Publicly Owned, 283 ," 1,015 "," 12,650 ",8.02
City of Yuma,CO,Publicly Owned, 343 ," 1,123 "," 13,000 ",8.64
Colorado Springs City of,CO,Publicly Owned," 22,913 "," 104,120 "," 1,831,743 ",5.68
Delta Montrose Electric Assn,CO,Cooperative," 2,684 "," 5,241 "," 60,334 ",8.69
"Empire Electric Assn, Inc",CO,Cooperative," 2,272 "," 7,691 "," 93,504 ",8.23
Fort Collins City of,CO,Publicly Owned," 6,239 "," 25,160 "," 462,099 ",5.44
Glenwood Springs City of,CO,Publicly Owned," 1,349 "," 5,579 "," 76,555 ",7.29
"Grand Valley Rrl Pwr Line, Inc",CO,Cooperative," 1,645 "," 4,106 "," 46,146 ",8.90
Gunnison County Elec Assn.,CO,Cooperative," 1,304 "," 2,669 "," 34,624 ",7.71
"High West Energy, Inc",CO,Cooperative, 83 , 423 ," 6,032 ",7.01
Highline Electric Assn,CO,Cooperative," 1,067 "," 3,335 "," 53,781 ",6.20
"Holy Cross Electric Assn, Inc",CO,Cooperative," 8,063 "," 24,031 "," 410,537 ",5.85
Intermountain Rural Elec Assn,CO,Cooperative," 8,998 "," 38,135 "," 511,511 ",7.46
K C Electric Assn,CO,Cooperative," 2,318 "," 4,332 "," 62,169 ",6.97
"La Plata Electric Assn, Inc",CO,Cooperative," 5,017 "," 19,850 "," 218,740 ",9.07
Las Animas City of,CO,Publicly Owned, 544 ," 1,345 "," 19,100 ",7.04
Moon Lake Electric Assn Inc,CO,Cooperative," 1,085 "," 6,431 "," 129,436 ",4.97
Morgan County Rural Elec Assn,CO,Cooperative," 2,657 "," 6,929 "," 76,443 ",9.06
"Mountain Parks Electric, Inc",CO,Cooperative," 2,919 "," 7,854 "," 123,268 ",6.37
"Mountain View Elec Assn, Inc",CO,Cooperative," 2,811 "," 10,339 "," 135,588 ",7.63
"Poudre Valley R E A, Inc",CO,Cooperative," 3,628 "," 4,681 "," 57,532 ",8.14
Public Service Co of Colorado,CO,Investor Owned," 210,792 "," 853,309 "," 12,868,557 ",6.63
"San Isabel Electric Assn, Inc",CO,Cooperative," 2,394 "," 6,921 "," 66,187 ",10.46
"San Luis Valley R E C, Inc",CO,Cooperative, 864 ," 2,789 "," 31,912 ",8.74
"San Miguel Power Assn, Inc",CO,Cooperative," 2,252 "," 7,315 "," 80,941 ",9.04
Sangre De Cristo Elec Assn Inc,CO,Cooperative, 872 ," 2,703 "," 33,493 ",8.07
Southeast Colorado Power Assn,CO,Cooperative," 1,169 "," 4,846 "," 52,936 ",9.15
Southwestern Electric Coop Inc,CO,Cooperative, 1 , 1 , 11 ,9.09
Town of Estes Park,CO,Publicly Owned," 1,649 "," 3,846 "," 60,342 ",6.37
Town of Fleming,CO,Publicly Owned, 38 , 30 , 942 ,3.18
Town of Frederick,CO,Publicly Owned, 567 ," 1,407 "," 19,452 ",7.23
Town of Granada,CO,Publicly Owned, 29 , 40 , 54 ,74.07
Town of Haxtun,CO,Publicly Owned, 94 , 168 ," 2,290 ",7.34
Town of Holly,CO,Publicly Owned, 267 , 312 ," 2,009 ",15.53
Town of Lyons,CO,Publicly Owned, 134 , 219 ," 3,562 ",6.15
Town of Oak Creek,CO,Publicly Owned, 64 , 102 ," 1,736 ",5.88
"Tri-County Electric Coop, Inc",CO,Cooperative, 30 , 23 , 193 ,11.92
"United Power, Inc",CO,Cooperative," 6,435 "," 27,895 "," 384,457 ",7.26
Western Area Power Administration,CO,Federal, 5 ," 1,201 "," 69,482 ",1.73
"Wheatland Electric Coop, Inc",CO,Cooperative, 20 , 24 , 146 ,16.44
"White River Electric Assn, Inc",CO,Cooperative, 590 ," 2,200 "," 28,953 ",7.60
Yampa Valley Electric Assn Inc,CO,Cooperative," 3,782 "," 13,065 "," 157,440 ",8.30
Y-W Electric Assn Inc,CO,Cooperative," 1,289 "," 1,781 "," 25,426 ",7.00
Bozrah Light & Power Company,CT,Publicly Owned, 325 , 752 ," 6,013 ",12.51
City of Norwich,CT,Publicly Owned," 2,467 "," 15,618 "," 164,380 ",9.50
City of South Norwalk,CT,Publicly Owned," 1,145 "," 6,057 "," 49,978 ",12.12
Connecticut Light & Power Co,CT,Investor Owned," 107,296 "," 973,780 "," 9,775,938 ",9.96
