"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Industrial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
White Mountain City of,Publicly Owned,3,10,25,40.00
Wrangell City of,Publicly Owned,1,5,64,7.81
 State Total,,"1,842","83,223","1,087,855",7.65
Arizona,,,,,
Aguila Irrigation District,Publicly Owned,36,"1,044","30,946",3.37
Ajo Improvement Company,Investor-Owned,52,163,"1,390",11.73
Ak-Chin Electric Utility Auth,Publicly Owned,50,33,526,6.27
Arizona Public Service Co,Investor-Owned,"3,671","125,759","2,224,922",5.65
Buckeye Irrigation District,Publicly Owned,158,671,"10,302",6.51
Citizens Communications Co,Investor-Owned,54,"10,619","77,407",13.72
"Dixie Escalante R E A, Inc",Cooperative,14,83,"2,086",3.98
Electrical Dist No2 Pinal Cnty,Publicly Owned,14,"1,786","30,165",5.92
Electrical Dist No4 Pinal Cnty,Publicly Owned,100,200,"3,802",5.26
Electrical Dist No5 Pinal Cnty,Publicly Owned,82,627,"28,807",2.18
Electrical Dist No6 Pinal Cnty,Publicly Owned,102,"1,085","17,647",6.15
Electrical Dist No7 Maricopa,Publicly Owned,119,"1,570","31,080",5.05
Electrical Dist No8 Maricopa,Publicly Owned,408,"6,637","195,503",3.39
Harquahala Valley Pwr District,Publicly Owned,65,"1,023","33,810",3.03
Hohokam Irr & Drain Dist,Publicly Owned,1,29,485,5.98
Maricopa County M W C Dist #1,Publicly Owned,236,"1,211","34,918",3.47
McMullen Valley Water C&D Dist,Publicly Owned,86,"1,401","42,206",3.32
"Mohave Electric Coop, Inc",Cooperative,3,"2,806","58,353",4.81
Morenci Water & Electric Co,Investor-Owned,1,"67,999","1,552,219",4.38
Navajo Tribal Utility Auth,Publicly Owned,5,"17,096","302,105",5.66
"Navopache Electric Coop, Inc",Cooperative,5,"1,311","31,260",4.19
Ocotillo Water Conserv. Dist.,Publicly Owned,52,741,"12,611",5.88
Roosevelt Irrigation District,Publicly Owned,250,"1,308","24,080",5.43
Safford City of,Publicly Owned,16,31,367,8.45
Salt River Project,Publicly Owned,43,"127,915","3,139,132",4.07
Sulphur Springs Valley E C Inc,Cooperative,4,"2,233","33,261",6.71
Tohono O'Odham Utility Auth,Publicly Owned,1,134,"1,918",6.99
Tonopah Irrigation District,Publicly Owned,31,841,"22,526",3.73
Trico Electric Cooperative Inc,Cooperative,9,"4,151","66,769",6.22
Tucson Electric Power Co,Investor-Owned,702,"189,030","2,956,685",6.39
USBIA-San Carlos Project,Federal,4,"3,520","52,629",6.69
Wellton-Mohawk Irr & Drain Dist,Publicly Owned,2,434,"6,462",6.72
 State Total,,"6,376","573,491","11,026,379",5.20
Arkansas,,,,,
Arkansas Valley Elec Coop Corp,Cooperative,13,"7,687","232,116",3.31
Benton City of,Publicly Owned,21,"2,196","42,432",5.18
Bentonville City of,Publicly Owned,288,"7,819","233,175",3.35
C & L Electric Coop Corp,Cooperative,9,"1,248","26,763",4.66
Carroll Electric Coop Corp,Cooperative,8,"6,897","212,576",3.24
Clarksville Light & Water Co,Publicly Owned,105,"9,966","187,509",5.31
Clay County Electric Coop Corp,Cooperative,11,"2,236","35,468",6.30
Conway Corporation,Publicly Owned,83,"16,007","407,291",3.93
Craighead Electric Coop Corp,Cooperative,924,"1,772","24,889",7.12
Empire District Electric Co,Investor-Owned,9,"3,002","66,105",4.54
Entergy Arkansas Inc,Investor-Owned,"21,739","329,845","7,074,241",4.66
First Electric Coop Corp,Cooperative,2,"7,395","264,297",2.80
Hope City of,Publicly Owned,2,"3,781","99,000",3.82
Jonesboro City of,Publicly Owned,32,"16,701","450,463",3.71
Mississippi County Electric Cooperative,Cooperative,23,"77,272","2,955,389",2.61
"North Arkansas Elec Coop, Inc",Cooperative,5,"3,918","83,509",4.69
North Little Rock City of,Publicly Owned,188,"22,011","347,880",6.33
Oklahoma Gas & Electric Co,Investor-Owned,420,"33,782","1,079,651",3.13
Osceola City of,Publicly Owned,15,"4,865","96,653",5.03
Ouachita Electric Coop Corp,Cooperative,9,"3,321","73,456",4.52
Ozarks Electric Coop Corp,Cooperative,270,"8,872","168,844",5.25
Paragould Light & Water Comm,Publicly Owned,30,"8,995","225,872",3.98
Paris City of,Publicly Owned,10,614,"14,804",4.15
Petit Jean Electric Coop Corp,Cooperative,17,"1,205","24,915",4.84
Piggott City of,Publicly Owned,81,965,"20,966",4.60
Prescott City of,Publicly Owned,2,"3,256","76,800",4.24
Siloam Springs City of,Publicly Owned,98,"8,668","165,000",5.25
"South Central Ark El Coop, Inc",Cooperative,8,"4,801","122,442",3.92
Southwest Arkansas E C C,Cooperative,6,"8,481","193,092",4.39
Southwestern Electric Power Co,Investor-Owned,585,"67,360","1,815,812",3.71
Woodruff Electric Coop Corp,Cooperative,8,"2,936","65,298",4.50
 State Total,,"25,021","677,874","16,886,708",4.01
California,,,,,
Alameda City of,Publicly Owned,15,"3,515","41,997",8.37
Anaheim City of,Publicly Owned,636,"111,634","1,294,361",8.62
Azusa City of,Publicly Owned,32,"6,811","82,598",8.25
Banning City of,Publicly Owned,5,"1,564","12,551",12.46
Biggs City of,Publicly Owned,5,681,"10,035",6.79
Burbank City of,Publicly Owned,246,"62,546","531,786",11.76
City & County of San Francisco,Publicly Owned,1,509,"8,704",5.85
Colton City of,Publicly Owned,32,"10,823","120,961",8.95
Glendale City of,Publicly Owned,287,"33,737","393,871",8.57
Healdsburg City of,Publicly Owned,100,378,"3,142",12.03
Imperial Irrigation District,Publicly Owned,17,"2,462","16,511",14.91
Lassen Municipal Utility District,Publicly Owned,5,"2,205","15,574",14.16
Lodi City of,Publicly Owned,335,"21,634","124,946",17.31
Lompoc City of,Publicly Owned,77,"3,017","34,212",8.82
Los Angeles City of,Publicly Owned,"15,229","201,540","2,454,582",8.21
Merced Irrigation District,Publicly Owned,10,"10,959","147,008",7.45
Modesto Irrigation District,Publicly Owned,337,"35,019","739,272",4.74
Needles City of,Publicly Owned,4,23,238,9.66
Pacific Gas & Electric Co,Investor-Owned,998,"778,803","7,179,531",10.85
PacifiCorp,Investor-Owned,"1,956","9,062","173,415",5.23
Palo Alto City of,Publicly Owned,179,"22,585","351,129",6.43
Pasadena City of,Publicly Owned,879,"61,557","580,409",10.61
Plumas-Sierra Rural Elec Coop,Cooperative,149,"3,907","57,574",6.79
Redding City of,Publicly Owned,"2,157","4,349","44,520",9.77
Riverside City of,Publicly Owned,404,"50,339","645,096",7.80
Roseville City of,Publicly Owned,25,"20,285","303,058",6.69
Sacramento Municipal Util Dist,Publicly Owned,"11,204","429,637","4,699,565",9.14
San Diego Gas & Electric Co,Investor-Owned,427,"161,294","951,288",16.96
Santa Clara City of,Publicly Owned,"1,967","159,083","2,092,094",7.60
Shasta Lake City of,Publicly Owned,10,"3,122","121,981",2.56
Sierra Pacific Power Co,Investor-Owned,38,"6,572","101,080",6.50
Southern California Edison Co,Investor-Owned,"42,731","888,564","6,952,221",12.78
Southern California Water Co,Investor-Owned,4,"1,604","13,967",11.48
Surprise Valley Electrification Corp.,Cooperative,18,305,"4,107",7.43
Trinity Public Utilities Dist,Publicly Owned,1,390,"8,089",4.82
Turlock Irrigation District,Publicly Owned,"1,310","39,509","663,452",5.96
Ukiah City of,Publicly Owned,88,"3,706","37,156",9.97
Vernon City of,Publicly Owned,860,"62,291","869,223",7.17
 State Total,,"82,778","3,216,021","31,881,304",10.09
Colorado,,,,,
Aquila Inc,Investor-Owned,106,"18,526","410,067",4.52
Burlington City of,Publicly Owned,84,"1,175","14,867",7.90
Center City of,Publicly Owned,61,389,"7,480",5.20
Colorado Springs City of,Publicly Owned,221,"55,410","1,179,479",4.70
Delta City of,Publicly Owned,40,"1,401","19,669",7.12
Delta Montrose Electric Assn,Cooperative,208,"12,273","224,883",5.46
Deseret Generation & Tran Coop,Cooperative,1,"1,203","34,379",3.50
"Empire Electric Assn, Inc",Cooperative,2,"8,234","223,076",3.69
Fort Collins City of,Publicly Owned,16,"16,667","421,419",3.95
Fort Morgan City of,Publicly Owned,1,"3,728","76,243",4.89
Fountain City of,Publicly Owned,112,"3,636","71,733",5.07
Frederick Town of,Publicly Owned,71,143,"1,547",9.24
"Grand Valley Rrl Pwr Line, Inc",Cooperative,4,346,"6,661",5.19
Gunnison County Elec Assn.,Cooperative,6,440,"6,590",6.68
"High West Energy, Inc",Cooperative,85,160,"2,379",6.73
Highline Electric Assn,Cooperative,"1,910","15,413","257,522",5.99
"Holy Cross Electric Assn, Inc",Cooperative,37,105,"1,605",6.54
Holyoke City of,Publicly Owned,18,290,"5,188",5.59
Intermountain Rural Elec Assn,Cooperative,30,"5,619","97,645",5.75
La Junta City of,Publicly Owned,68,"2,855","37,512",7.61
"La Plata Electric Assn, Inc",Cooperative,11,"19,992","442,559",4.52
Lamar City of,Publicly Owned,7,339,"4,098",8.27
Las Animas City of,Publicly Owned,3,15,221,6.79
Longmont City of,Publicly Owned,9,"5,305","135,381",3.92
Loveland City of,Publicly Owned,220,"11,229","278,855",4.03
Moon Lake Electric Assn Inc,Cooperative,7,"18,577","325,389",5.71
Morgan County Rural Elec Assn,Cooperative,171,"2,588","44,699",5.79
"Mountain Parks Electric, Inc",Cooperative,6,757,"17,969",4.21
"Mountain View Elec Assn, Inc",Cooperative,13,"3,998","86,212",4.64
"Poudre Valley R E A, Inc",Cooperative,849,"17,620","358,673",4.91
Public Service Co of Colorado,Investor-Owned,270,"204,986","5,011,832",4.09
"San Isabel Electric Assn, Inc",Cooperative,6,"2,800","75,886",3.69
"San Luis Valley R E C, Inc",Cooperative,1,292,"5,738",5.09
"San Miguel Power Assn, Inc",Cooperative,1,66,826,7.99
Southeast Colorado Power Assn,Cooperative,"1,312","3,890","58,306",6.67
Springfield City of,Publicly Owned,15,195,"2,890",6.75
"United Power, Inc",Cooperative,9,"4,462","90,128",4.95
"White River Electric Assn, Inc",Cooperative,8,"10,280","215,886",4.76
Yampa Valley Electric Assn Inc,Cooperative,15,"10,022","147,337",6.80
Y-W Electric Assn Inc,Cooperative,"2,125","17,439","269,397",6.47
 State Total,,"8,139","482,865","10,672,226",4.52
Connecticut,,,,,
Bozrah Light & Power Company,Publicly Owned,16,"1,387","15,215",9.12
Connecticut Light & Power Co,Investor-Owned,"4,034","270,155","3,573,159",7.56
Farmington River Power Company,Investor-Owned,1,477,"18,363",2.60
Groton Dept of Utilities,Publicly Owned,3,"21,185","332,755",6.37
Jewett City City of,Publicly Owned,1,25,259,9.65
Norwalk Third Taxing District,Publicly Owned,47,"1,418","17,448",8.13
Norwich City of,Publicly Owned,27,"4,335","54,354",7.98
South Norwalk City of,Publicly Owned,13,"2,006","19,328",10.38
United Illuminating Co,Investor-Owned,"1,630","91,129","1,021,586",8.92
Wallingford Town of,Publicly Owned,28,"10,791","184,179",5.86
 State Total,,"5,800","402,908","5,236,646",7.69
Delaware,,,,,
Clayton Town of,Publicly Owned,1,29,182,15.93
Delaware Electric Coop Inc,Cooperative,1,596,"9,996",5.96
Delmarva Power & Light Company,Investor-Owned,291,"108,699","2,274,693",4.78
Dover City of,Publicly Owned,32,"19,142","344,415",5.56
Lewes City of,Publicly Owned,27,"2,357","30,471",7.74
Milford City of,Publicly Owned,16,"4,988","73,611",6.78
Newark City of,Publicly Owned,54,"16,495","222,738",7.41
Seaford City of,Publicly Owned,72,"3,820","55,579",6.87
Smyrna Town of,Publicly Owned,59,"1,712","21,085",8.12
 State Total,,553,"157,838","3,032,770",5.20
District of Columbia,,,,,
Potomac Electric Power Co,Investor-Owned,1,"13,992","282,397",4.95
 State Total,,1,"13,992","282,397",4.95
Florida,,,,,
Bartow City of,Publicly Owned,264,"9,828","113,838",8.63
"Central Florida Elec Coop, Inc",Cooperative,22,"2,095","32,717",6.40
Chattahoochee City of,Publicly Owned,5,"1,559","26,509",5.88
"Choctawhatche Elec Coop, Inc",Cooperative,3,"1,123","23,770",4.72
"Clay Electric Cooperative, Inc",Cooperative,20,"12,158","255,397",4.76
Clewiston City of,Publicly Owned,1,"1,558","24,016",6.49
"Florida Keys El Coop Assn, Inc",Cooperative,407,"11,892","163,121",7.29
Florida Power & Light Company,Investor-Owned,"15,535","213,116","4,058,048",5.25
Florida Power Corp,Investor-Owned,"2,535","206,725","3,835,061",5.39
Florida Public Utilities Co,Investor-Owned,2,"3,514","99,750",3.52
Gainesville Regional Utilities,Publicly Owned,18,"9,241","178,121",5.19
"Glades Electric Coop, Inc",Cooperative,10,"4,369","75,205",5.81
Green Cove Springs City of,Publicly Owned,6,945,"14,844",6.37
Gulf Power Co,Investor-Owned,272,"88,101","2,053,668",4.29
Homestead City of,Publicly Owned,352,"11,699","117,684",9.94
Jacksonville Electric Authority,Publicly Owned,194,"111,554","2,901,895",3.84
Key West City of,Publicly Owned,1,33,338,9.76
Kissimmee Utility Authority,Publicly Owned,182,"11,582","182,849",6.33
Lakeland City of,Publicly Owned,84,"28,088","520,423",5.40
Leesburg City of,Publicly Owned,382,"12,978","204,674",6.34
Mount Dora City of,Publicly Owned,52,"1,018","18,836",5.40
New Smyrna Beach City of,Publicly Owned,107,"6,949","80,295",8.65
Newberry City of,Publicly Owned,31,436,"5,109",8.53
Ocala City of,Publicly Owned,"1,117","38,930","590,748",6.59
Okefenoke Rural El Member Corp,Cooperative,1,308,"4,588",6.71
Quincy City of,Publicly Owned,1,"2,085","31,037",6.72
"Sumter Electric Coop, Inc",Cooperative,548,"20,316","371,464",5.47
"Suwannee Valley Elec Coop, Inc",Cooperative,5,871,"16,417",5.31
"Talquin Electric Coop, Inc",Cooperative,3,"3,101","58,726",5.28
Tampa Electric Co,Investor-Owned,948,"158,065","2,611,973",6.05
"Tri-County Electric Coop, Inc",Cooperative,77,"2,976","41,676",7.14
Vero Beach City of,Publicly Owned,1,"1,173","17,123",6.85
Withlacoochee River Elec Coop,Cooperative,52,"12,254","229,393",5.34
 State Total,,"23,238","990,640","18,959,313",5.23
Georgia,,,,,
Adel City of,Publicly Owned,15,"1,436","18,345",7.83
Altamaha Electric Member Corp,Cooperative,10,"9,577","317,168",3.02
Barnesville City of,Publicly Owned,1,640,"12,000",5.33
Blakely City of,Publicly Owned,4,821,"12,846",6.39
Buford City of,Publicly Owned,4,"3,144","64,477",4.88
Cairo City of,Publicly Owned,23,"2,587","48,730",5.31
Calhoun City of,Publicly Owned,47,"11,329","218,758",5.18
Camilla City of,Publicly Owned,55,"4,749","87,508",5.43
Canoochee Electric Member Corp,Cooperative,2,"1,938","37,049",5.23
Carroll Electric Member Corp,Cooperative,20,"8,020","208,493",3.85
Cartersville City of,Publicly Owned,25,"12,885","297,025",4.34
Central Georgia El Member Corp,Cooperative,47,"5,920","144,205",4.11
Chattanooga City of,Publicly Owned,2,980,"18,420",5.32
Chickamauga City of,Publicly Owned,1,477,"9,320",5.12
Coastal Electric Member Corp,Cooperative,2,"2,545","71,394",3.56
Cobb Electric Membership Corp,Cooperative,41,"6,636","197,389",3.36
Colquitt Electric Membership Corp,Cooperative,224,"23,453","751,420",3.12
Commerce City of,Publicly Owned,3,469,"6,872",6.82
Covington City of,Publicly Owned,10,"4,703","116,265",4.05
Coweta-Fayette El Member Corp,Cooperative,46,"6,367","148,613",4.28
Crisp County Power Comm,Publicly Owned,76,"6,802","147,084",4.62
Dalton Utilities,Publicly Owned,71,"24,579","736,759",3.34
Diverse Power Incorporated,Cooperative,4,968,"21,221",4.56
Douglas City of,Publicly Owned,14,"10,944","189,215",5.78
Elberton City of,Publicly Owned,8,"2,042","44,726",4.57
Ellaville City of,Publicly Owned,20,623,"8,549",7.29
Excelsior Electric Member Corp,Cooperative,7,"1,415","28,231",5.01
Fairburn City of,Publicly Owned,1,298,"7,256",4.11
Fitzgerald Wtr Lgt & Bond Comm,Publicly Owned,46,"6,305","116,796",5.40
Flint Electric Membership Corp,Cooperative,18,"4,018","83,328",4.82
Forsyth City of,Publicly Owned,3,626,"12,774",4.90
Fort Valley Utility Comm,Publicly Owned,4,"1,446","28,122",5.14
Georgia Power Co,Investor-Owned,"8,232","1,004,288","25,739,785",3.90
Grady Electric Membership Corp,Cooperative,4,272,"5,296",5.14
GreyStone Power Corporation,Cooperative,41,"10,287","228,530",4.50
Griffin City of,Publicly Owned,19,"3,951","105,473",3.75
Hart Electric Member Corp,Cooperative,5,"1,438","25,340",5.67
Hogansville City of,Publicly Owned,1,425,"5,782",7.35
Irwin Electric Membership Corp,Cooperative,4,381,"5,885",6.47
Jackson City of,Publicly Owned,6,184,"3,274",5.62
Jackson Electric Member Corp,Cooperative,72,"21,195","489,439",4.33
Jefferson Electric Member Corp,Cooperative,9,"1,512","34,103",4.43
La Grange City of,Publicly Owned,77,"15,574","299,420",5.20
LaFayette City of,Publicly Owned,14,"1,083","28,170",3.84
Lamar Electric Membership Corp,Cooperative,2,899,"24,519",3.67
Little Ocmulgee El Member Corp,Cooperative,222,919,"13,283",6.92
Mansfield City of,Publicly Owned,1,252,"2,878",8.76
Middle Georgia El Member Corp,Cooperative,3,3,26,11.54
Mitchell Electric Member Corp,Cooperative,4,785,"12,967",6.05
Moultrie City of,Publicly Owned,19,"2,317","32,267",7.18
"Newnan Wtr, Sewer & Light Comm",Publicly Owned,2,"2,491","71,084",3.50
North Georgia Elec Member Corp,Cooperative,60,"29,886","729,134",4.10
Ocmulgee Electric Member Corp,Cooperative,3,584,"12,357",4.73
Oconee Electric Member Corp,Cooperative,7,"2,652","59,436",4.46
Okefenoke Rural El Member Corp,Cooperative,1,162,"1,429",11.34
Palmetto City of,Publicly Owned,1,274,"3,326",8.24
Pataula Electric Member Corp,Cooperative,1,"1,428","31,525",4.53
Rayle Electric Membership Corp,Cooperative,6,662,"11,748",5.64
Satilla Rural Elec Member Corporation,Cooperative,12,"5,064","172,018",2.94
Savannah Electric & Power Co,Investor-Owned,78,"32,504","793,181",4.10
Sawnee Electric Membership Corporation,Cooperative,40,"6,385","145,205",4.40
Slash Pine Elec Member Corp,Cooperative,7,"1,643","35,164",4.67
Snapping Shoals El Member Corp,Cooperative,38,"6,812","157,388",4.33
Sumter Electric Member Corp,Cooperative,10,"1,388","28,249",4.91
Sylvania City of,Publicly Owned,3,"18,463","635,617",2.90
Sylvester City of,Publicly Owned,5,"1,258","21,432",5.87
Thomaston City of,Publicly Owned,2,"1,617","32,516",4.97
Tri-County Elec Member Corp,Cooperative,1,793,"25,714",3.08
Tri-State Electric Member Corp,Cooperative,3,62,102,60.78
Upson Elec Member Corp,Cooperative,3,239,"4,773",5.01
Walton Electric Member Corp,Cooperative,24,"6,216","144,616",4.30
Washington City of,Publicly Owned,13,"3,836","68,786",5.58
Washington Elec Member Corp,Cooperative,8,"6,521","150,006",4.35
Whigham City of,Publicly Owned,4,142,"1,512",9.39
 State Total,,"9,921","1,365,589","34,603,113",3.95
Hawaii,,,,,
Citizens Communications Co,Investor-Owned,93,"26,118","131,244",19.90
Hawaii Electric Light Co Inc,Investor-Owned,61,"33,824","222,161",15.22
Hawaiian Electric Co Inc,Investor-Owned,357,"301,002","3,034,903",9.92
Maui Electric Co Ltd,Investor-Owned,132,"54,485","382,093",14.26
 State Total,,643,"415,429","3,770,401",11.02
Idaho,,,,,
Avista Corp,Investor-Owned,526,"31,034","699,502",4.44
Bonners Ferry City of,Publicly Owned,28,"1,773","32,803",5.40
Clearwater Power Company,Cooperative,5,"1,037","23,276",4.46
Heyburn City of,Publicly Owned,3,"1,466","52,247",2.81
"Idaho Cnty L&P Coop Assn, Inc",Cooperative,6,38,308,12.34
Idaho Falls City of,Publicly Owned,7,"2,121","45,909",4.62
Idaho Power Co,Investor-Owned,110,"169,022","2,982,939",5.67
Inland Power & Light Company,Cooperative,8,75,"1,682",4.46
Kootenai Electric Coop Inc,Cooperative,1,423,"9,012",4.69
"Lost River Electric Cooperative, Inc",Cooperative,16,107,"1,637",6.54
Lower Valley Energy Inc,Cooperative,1,"1,639","45,642",3.59
"Northern Lights, Inc",Cooperative,4,"1,157","24,887",4.65
PacifiCorp,Investor-Owned,"5,365","60,829","2,285,481",2.66
Plummer City of,Publicly Owned,3,376,"9,878",3.81
Raft River Rural Elec Coop Inc,Cooperative,65,467,"10,336",4.52
Salmon River Electric Coop Inc,Cooperative,3,"3,366","103,207",3.26
Soda Springs City of,Publicly Owned,1,22,249,8.84
"South Side Electric, Inc",Cooperative,285,717,"23,168",3.09
 State Total,,"6,437","275,669","6,352,163",4.34
Illinois,,,,,
Altamont City of,Publicly Owned,7,213,"3,159",6.74
Batavia City of,Publicly Owned,559,"14,785","269,337",5.49
Bushnell City of,Publicly Owned,19,890,"13,290",6.70
Cairo Public Utility Company,Publicly Owned,2,"1,929","46,739",4.13
Carlyle City of,Publicly Owned,12,754,"12,397",6.08
Casey City of,Publicly Owned,40,148,"2,324",6.37
Central Illinois Light Co,Investor-Owned,170,"96,759","2,278,858",4.25
Central Illinois Pub Serv Co,Investor-Owned,454,"90,115","2,220,699",4.06
Chatham Village of,Publicly Owned,2,374,"4,796",7.80
Coles-Moultrie Electric Coop,Cooperative,7,"1,485","28,780",5.16
Commonwealth Edison Co,Investor-Owned,994,"687,876","13,016,569",5.28
Corn Belt Energy Corporation,Cooperative,24,"2,893","42,742",6.77
Eastern Illinois Elec Coop,Cooperative,3,433,"5,676",7.63
Fairfield City of,Publicly Owned,2,896,"17,338",5.17
Farmer City City of,Publicly Owned,14,241,"3,172",7.60
Flora City of,Publicly Owned,80,"5,314","105,415",5.04
Freeburg Village of,Publicly Owned,5,229,"4,602",4.98
Geneseo City of,Publicly Owned,6,149,"2,419",6.16
Highland City of,Publicly Owned,164,"2,596","61,859",4.20
Illinois Power Co,Investor-Owned,318,"281,845","6,305,777",4.47
Interstate Power and Light Co,Investor-Owned,57,"8,922","211,717",4.21
Ladd Village of,Publicly Owned,1,368,"6,604",5.57
Marshall City of,Publicly Owned,40,"2,701","43,541",6.20
