Guntersville Electric Board,AL,Publicly Owned, 8 ," 4,219 "," 86,967 ",4.85,,
Hartford City of,AL,Publicly Owned, 3 , 77 ," 1,030 ",7.48,,
Huntsville City of,AL,Publicly Owned, 97 ," 54,136 "," 1,077,420 ",5.02,,
Joe Wheeler Elec Member Corp,AL,Cooperative, 18 ," 18,645 "," 360,706 ",5.17,,
Marshall-De Kalb Electric Coop,AL,Cooperative, 7 ," 4,815 "," 92,503 ",5.21,,
North Alabama Electric Coop,AL,Cooperative, 7 ," 5,644 "," 123,276 ",4.58,,
Opp City of,AL,Publicly Owned, 123 ," 2,151 "," 25,602 ",8.40,,
Pea River Electric Coop,AL,Cooperative, 2 ," 1,018 "," 16,660 ",6.11,,
"Pioneer Electric Coop, Inc",AL,Cooperative, 5 , 280 ," 2,656 ",10.54,,
Sand Mountain Electric Coop,AL,Cooperative, 7 ," 4,647 "," 86,722 ",5.36,,
Sheffield Utilities,AL,Publicly Owned, 12 ," 4,898 "," 83,125 ",5.89,,
"South Alabama Elec Coop, Inc",AL,Cooperative, 3 ," 1,440 "," 22,743 ",6.33,,
"Southern Pine Elec Coop, Inc",AL,Cooperative, 8 ," 27,897 "," 779,431 ",3.58,,
Sylacauga Utilities Board,AL,Publicly Owned, 22 ," 4,432 "," 79,505 ",5.57,,
Tallapoosa River Elec Coop Inc,AL,Cooperative, 4 ," 2,767 "," 48,950 ",5.65,,
Tennessee Valley Authority,AL,Federal, 22 ," 188,421 "," 5,872,117 ",3.21,,
"Wiregrass Electric Coop, Inc",AL,Cooperative, 22 , 508 ," 6,314 ",8.05,,
Alaska Electric Light & Pwr Co,AK,Investor Owned, 100 ," 3,916 "," 54,714 ",7.16,,
Atmautluak Tribal Utilities,AK,Publicly Owned, 11 , 19 , 169 ,11.24,,
Chugach Electric Assn Inc,AK,Cooperative, 6 ," 3,159 "," 41,033 ",7.70,,
City of Petersburg,AK,Publicly Owned, 30 ," 1,447 "," 15,801 ",9.16,,
City of Saint Paul,AK,Publicly Owned, 46 , 460 ," 1,291 ",35.63,,
City of Unalaska,AK,Publicly Owned, 14 ," 1,814 "," 11,974 ",15.15,,
City of White Mountain,AK,Publicly Owned, 3 , 10 , 25 ,40.00,,
City of Wrangell,AK,Publicly Owned, 1 , 5 , 65 ,7.69,,
"Copper Valley Elec Assn, Inc",AK,Cooperative, 1 ," 1,277 "," 10,821 ",11.80,,
"Cordova Electric Coop, Inc",AK,Cooperative, 6 , 890 ," 4,986 ",17.85,,
Egegik Light & Power Co,AK,Investor Owned, 1 , 44 , 157 ,28.03,,
"G & K, Inc",AK,Investor Owned, 1 , 73 , 161 ,45.34,,
Galena Electric Utility,AK,Publicly Owned, 36 ," 1,345 "," 5,337 ",25.20,,
Golden Valley Electric Assn Inc,AK,Cooperative, 405 ," 47,170 "," 665,663 ",7.09,,
Gwitchyaa Zhee Utility Co,AK,Investor Owned, 6 , 186 , 539 ,34.51,,
Homer Electric Assn Inc,AK,Cooperative, 26 ," 6,390 "," 150,355 ",4.25,,
Hughes Power & Light Co,AK,Investor Owned, 4 , 21 , 40 ,52.50,,
Ketchikan City of,AK,Publicly Owned, 14 ," 1,550 "," 21,001 ",7.38,,
Kodiak Electric Assn Inc,AK,Cooperative," 1,049 "," 13,367 "," 90,194 ",14.82,,
Kwig Power Company,AK,Publicly Owned, 3 , 13 , 40 ,32.50,,
Metlakatla Power & Light,AK,Publicly Owned, 1 , 97 , 665 ,14.59,,
"Nushagak Electric Coop, Inc",AK,Cooperative, 136 , 480 ," 2,069 ",23.20,,
Pelican Utility,AK,Investor Owned, 21 , 186 ," 1,428 ",13.03,,
Seward City of,AK,Publicly Owned, 58 ," 2,101 "," 21,734 ",9.67,,
Sitka City & Borough of,AK,Publicly Owned, 1 , 89 ," 1,195 ",7.45,,
Tlingit & Haida Region El Auth,AK,Publicly Owned, 47 , 392 ," 1,108 ",35.38,,
Tuntutuliak Comm Services Assn,AK,Cooperative, 1 , 5 , 11 ,45.45,,
Yakutat Power Inc,AK,Publicly Owned, 50 , 264 ," 1,069 ",24.70,,
Aguila Irrigation District,AZ,Publicly Owned, 36 , 973 ," 28,648 ",3.40,,
Ajo Improvement Company,AZ,Investor Owned, 54 , 375 ," 3,227 ",11.62,,
Ak-Chin Electric Utility Auth,AZ,Publicly Owned, 45 , 24 , 357 ,6.72,,
Arizona Public Service Co,AZ,Investor Owned," 3,681 "," 134,044 "," 2,348,700 ",5.71,,
Buckeye Irrigation District,AZ,Publicly Owned, 162 , 681 ," 10,629 ",6.41,,
City of Safford,AZ,Publicly Owned, 15 , 30 , 353 ,8.50,,
Colorado River Indian Irr Proj,AZ,Federal, 70 , 167 ," 3,092 ",5.40,,
Elec District No. 5 Maricopa C,AZ,Publicly Owned, 4 , 137 ," 2,208 ",6.20,,
Electrical Dist No2 Pinal Cnty,AZ,Publicly Owned, 14 ," 2,021 "," 35,087 ",5.76,,
Electrical Dist No4 Pinal Cnty,AZ,Publicly Owned, 131 , 200 ," 3,274 ",6.11,,
Electrical Dist No5 Pinal Cnty,AZ,Publicly Owned, 90 ," 1,089 "," 43,655 ",2.49,,
Electrical Dist No6 Pinal Cnty,AZ,Publicly Owned, 98 ," 1,110 "," 17,776 ",6.24,,
Electrical Dist No7 Maricopa,AZ,Publicly Owned, 117 ," 1,226 "," 23,428 ",5.23,,
Electrical Dist No8 Maricopa,AZ,Publicly Owned, 443 ," 6,916 "," 202,096 ",3.42,,
Harquahala Valley Pwr District,AZ,Publicly Owned, 67 , 895 ," 28,561 ",3.13,,
Hohokam Irr & Drain Dist,AZ,Publicly Owned, 1 , 26 , 22 ,118.18,,
Maricopa County M W C Dist #1,AZ,Publicly Owned, 240 ," 1,231 "," 29,191 ",4.22,,
McMullen Valley Water C&D Dist,AZ,Publicly Owned, 85 ," 1,460 "," 43,846 ",3.33,,
"Mohave Electric Coop, Inc",AZ,Cooperative, 38 ," 7,170 "," 99,179 ",7.23,,
Morenci Water & Electric Co,AZ,Investor Owned, 1 ," 78,558 "," 1,604,618 ",4.90,,
Navajo Tribal Utility Auth,AZ,Publicly Owned, 4 ," 16,237 "," 251,280 ",6.46,,
"Navopache Electric Coop, Inc",AZ,Cooperative, 5 ," 1,836 "," 32,955 ",5.57,,
Ocotillo Water Conserv. Dist.,AZ,Publicly Owned, 52 , 764 ," 12,375 ",6.17,,
Roosevelt Irrigation District,AZ,Publicly Owned, 249 ," 1,536 "," 22,389 ",6.86,,
Salt River Project,AZ,Publicly Owned, 44 ," 123,636 "," 2,902,290 ",4.26,,
Sulphur Springs Valley E C Inc,AZ,Cooperative, 3 ," 2,676 "," 34,658 ",7.72,,
Tohono O'Odham Utility Auth,AZ,Publicly Owned, 1 , 164 ," 2,354 ",6.97,,
Tonopah Irrigation District,AZ,Publicly Owned, 31 , 742 ," 20,537 ",3.61,,
Trico Electric Coop Inc,AZ,Cooperative, 37 ," 4,235 "," 60,779 ",6.97,,
Tucson Electric Power Co,AZ,Investor Owned, 686 ," 188,284 "," 2,930,807 ",6.42,,
UNS Electric Inc,AZ,Power Marketer, 8 ," 3,954 "," 51,744 ",7.64,,
USBIA-San Carlos Project,AZ,Federal, 4 ," 4,200 "," 63,385 ",6.63,,
Arkansas Valley Elec Coop Corp,AR,Cooperative, 12 ," 9,714 "," 255,186 ",3.81,,
"Ashley Chicot Elec Coop, Inc",AR,Cooperative, 221 , 778 ," 7,723 ",10.07,,
Benton City of,AR,Publicly Owned, 21 ," 2,100 "," 43,921 ",4.78,,
C & L Electric Coop Corp,AR,Cooperative, 9 ," 1,195 "," 23,335 ",5.12,,
Carroll Electric Coop Corp,AR,Cooperative, 9 ," 7,428 "," 218,216 ",3.40,,
City of Hope,AR,Publicly Owned, 2 ," 4,070 "," 99,000 ",4.11,,
City of North Little Rock,AR,Publicly Owned, 189 ," 22,011 "," 372,677 ",5.91,,
City of Osceola,AR,Publicly Owned, 15 ," 5,023 "," 91,909 ",5.47,,
City of Paris,AR,Publicly Owned, 10 , 860 ," 13,530 ",6.36,,
City of Prescott,AR,Publicly Owned, 2 ," 3,600 "," 84,000 ",4.29,,
City of Siloam Springs,AR,Publicly Owned, 103 ," 9,133 "," 167,043 ",5.47,,
Clarksville Light & Water Co,AR,Publicly Owned, 108 ," 9,628 "," 180,701 ",5.33,,
Clay County Electric Coop Corp,AR,Cooperative, 12 ," 2,232 "," 31,217 ",7.15,,
Conway Corporation,AR,Publicly Owned, 87 ," 15,441 "," 400,015 ",3.86,,
Craighead Electric Coop Corp,AR,Cooperative, 924 ," 1,704 "," 21,953 ",7.76,,
Empire District Electric Co,AR,Investor Owned, 9 ," 2,806 "," 69,576 ",4.03,,
Entergy Arkansas Inc,AR,Investor Owned," 22,926 "," 305,332 "," 6,998,762 ",4.36,,
Farmers Electric Coop Corp,AR,Cooperative, 435 , 719 ," 6,335 ",11.35,,
First Electric Coop Corp,AR,Cooperative, 477 ," 13,437 "," 340,226 ",3.95,,
Jonesboro City of,AR,Publicly Owned, 33 ," 16,356 "," 459,746 ",3.56,,
Mississippi County Electric Coop,AR,Cooperative, 27 ," 83,406 "," 3,003,793 ",2.78,,
"North Arkansas Elec Coop, Inc",AR,Cooperative, 7 ," 4,386 "," 88,553 ",4.95,,
Oklahoma Gas & Electric Co,AR,Investor Owned, 435 ," 43,570 "," 1,144,206 ",3.81,,
Ouachita Electric Coop Corp,AR,Cooperative, 8 ," 3,204 "," 70,619 ",4.54,,
Ozarks Electric Coop Corp,AR,Cooperative, 293 ," 9,693 "," 171,297 ",5.66,,
Paragould Light & Water Comm,AR,Publicly Owned, 29 ," 8,678 "," 220,431 ",3.94,,
Petit Jean Electric Coop Corp,AR,Cooperative, 18 ," 1,323 "," 25,598 ",5.17,,
Piggott City of,AR,Publicly Owned, 81 ," 1,315 "," 20,435 ",6.44,,
"South Central Ark El Coop, Inc",AR,Cooperative, 8 ," 4,949 "," 121,529 ",4.07,,
Southwest Arkansas E C C,AR,Cooperative, 6 ," 9,304 "," 211,017 ",4.41,,
Southwestern Electric Power Co,AR,Investor Owned, 852 ," 65,550 "," 1,603,246 ",4.09,,
Woodruff Electric Coop Corp,AR,Cooperative," 3,777 "," 7,279 "," 108,927 ",6.68,,
Banning City of,CA,Publicly Owned, 5 ," 1,634 "," 12,851 ",12.71,,
City of Alameda,CA,Publicly Owned, 11 ," 3,297 "," 34,657 ",9.51,,
City of Anaheim,CA,Publicly Owned, 642 ," 110,387 "," 1,292,304 ",8.54,,
City of Azusa,CA,Publicly Owned, 35 ," 7,190 "," 82,617 ",8.70,,
City of Biggs,CA,Publicly Owned, 5 , 621 ," 9,562 ",6.49,,
City of Burbank,CA,Publicly Owned, 253 ," 59,592 "," 521,741 ",11.42,,
City of Colton,CA,Publicly Owned, 34 ," 11,717 "," 132,020 ",8.88,,
City of Corona DWP,CA,Publicly Owned, 3 , 214 ," 1,430 ",14.97,,
City of Glendale,CA,Publicly Owned, 221 ," 45,321 "," 399,482 ",11.34,,
City of Lodi,CA,Publicly Owned, 48 ," 5,210 "," 93,947 ",5.55,,
City of Lompoc,CA,Publicly Owned, 77 ," 3,065 "," 33,747 ",9.08,,
City of Needles,CA,Publicly Owned, 3 , 64 , 655 ,9.77,,
City of Palo Alto,CA,Publicly Owned, 184 ," 22,747 "," 335,320 ",6.78,,
City of Pasadena,CA,Publicly Owned, 719 ," 68,783 "," 717,336 ",9.59,,
City of Redding,CA,Publicly Owned, 336 ," 2,885 "," 31,953 ",9.03,,
City of Riverside,CA,Publicly Owned, 361 ," 54,175 "," 675,483 ",8.02,,
City of Roseville,CA,Publicly Owned, 31 ," 21,092 "," 318,795 ",6.62,,
City of Santa Clara,CA,Publicly Owned," 1,956 "," 154,750 "," 2,044,745 ",7.57,,
City of Shasta Lake,CA,Publicly Owned, 10 ," 7,780 "," 132,055 ",5.89,,
City of Ukiah,CA,Publicly Owned, 88 ," 3,481 "," 34,130 ",10.20,,
City of Vernon,CA,Publicly Owned, 873 ," 62,948 "," 877,047 ",7.18,,
Healdsburg City of,CA,Publicly Owned, 92 , 367 ," 2,945 ",12.46,,
Imperial Irrigation District,CA,Publicly Owned," 1,579 "," 11,551 "," 104,573 ",11.05,,
Lassen Municipal Utility District,CA,Publicly Owned, 7 ," 2,304 "," 16,814 ",13.70,,
Los Angeles City of,CA,Publicly Owned," 14,969 "," 213,680 "," 2,476,441 ",8.63,,
Merced Irrigation District,CA,Publicly Owned, 10 ," 11,223 "," 132,412 ",8.48,,
Modesto Irrigation District,CA,Publicly Owned, 233 ," 36,515 "," 734,767 ",4.97,,
Pacific Gas & Electric Co,CA,Investor Owned," 1,036 "," 706,570 "," 6,286,047 ",11.24,,
PacifiCorp,CA,Investor Owned," 1,966 "," 8,703 "," 159,839 ",5.44,,
Plumas-Sierra Rural Elec Coop,CA,Cooperative, 145 ," 4,169 "," 61,439 ",6.79,,
Sacramento Municipal Util Dist,CA,Publicly Owned," 11,700 "," 435,398 "," 4,803,759 ",9.06,,
San Diego Gas & Electric Co,CA,Investor Owned, 439 ," 155,788 "," 1,231,354 ",12.65,,
San Francisco City & County of,CA,Publicly Owned, 13 ," 61,724 "," 638,621 ",9.67,,
Sierra Pacific Power Co,CA,Investor Owned, 45 ," 8,993 "," 116,753 ",7.70,,
Southern California Edison Co,CA,Investor Owned," 41,181 "," 660,279 "," 5,290,058 ",12.48,,
Southern California Water Co,CA,Investor Owned, 4 ," 1,993 "," 16,315 ",12.22,,
Surprise Valley Electrification Corp.,CA,Cooperative, 712 ," 2,562 "," 41,728 ",6.14,,
Trinity Public Utilities Dist,CA,Publicly Owned, 1 , 406 ," 8,395 ",4.84,,
Turlock Irrigation District,CA,Publicly Owned," 1,561 "," 37,041 "," 601,094 ",6.16,,
Aquila Inc,CO,Investor Owned, 104 ," 25,345 "," 505,734 ",5.01,,
City of Burlington,CO,Publicly Owned, 90 ," 1,184 "," 14,917 ",7.94,,
City of Center,CO,Publicly Owned, 64 , 437 ," 8,175 ",5.35,,
City of Delta,CO,Publicly Owned, 39 ," 1,510 "," 19,554 ",7.72,,
City of Fort Morgan,CO,Publicly Owned, 8 ," 6,008 "," 118,705 ",5.06,,
City of Fountain,CO,Publicly Owned, 32 ," 3,078 "," 57,035 ",5.40,,
City of Gunnison,CO,Publicly Owned, 1 , 280 ," 7,279 ",3.85,,
City of Holyoke,CO,Publicly Owned, 18 , 326 ," 5,301 ",6.15,,
City of La Junta,CO,Publicly Owned, 69 ," 2,976 "," 38,819 ",7.67,,
City of Lamar,CO,Publicly Owned, 6 , 241 ," 2,705 ",8.91,,
City of Longmont,CO,Publicly Owned, 9 ," 5,361 "," 138,843 ",3.86,,
City of Loveland,CO,Publicly Owned, 222 ," 11,557 "," 286,786 ",4.03,,
City of Springfield,CO,Publicly Owned, 17 , 229 ," 2,982 ",7.68,,
Colorado Springs City of,CO,Publicly Owned, 214 ," 55,014 "," 1,144,945 ",4.80,,
Delta Montrose Electric Assn,CO,Cooperative, 210 ," 14,021 "," 239,711 ",5.85,,
Deseret Generation & Tran Coop,CO,Cooperative, 1 ," 1,146 "," 32,743 ",3.50,,
"Empire Electric Assn, Inc",CO,Cooperative, 2 ," 9,928 "," 243,630 ",4.08,,
Fort Collins City of,CO,Publicly Owned, 16 ," 17,259 "," 434,494 ",3.97,,
"Grand Valley Rrl Pwr Line, Inc",CO,Cooperative, 91 , 691 ," 10,083 ",6.85,,
Gunnison County Elec Assn.,CO,Cooperative, 6 , 442 ," 6,532 ",6.77,,
"High West Energy, Inc",CO,Cooperative, 83 , 165 ," 2,171 ",7.60,,
Highline Electric Assn,CO,Cooperative," 1,933 "," 14,865 "," 243,491 ",6.10,,
"Holy Cross Electric Assn, Inc",CO,Cooperative, 17 ," 3,511 "," 66,680 ",5.27,,
Intermountain Rural Elec Assn,CO,Cooperative, 33 ," 5,698 "," 92,585 ",6.15,,
K C Electric Assn,CO,Cooperative, 683 ," 6,116 "," 94,820 ",6.45,,
"La Plata Electric Assn, Inc",CO,Cooperative, 10 ," 22,717 "," 471,518 ",4.82,,
Las Animas City of,CO,Publicly Owned, 3 , 10 , 127 ,7.87,,
Moon Lake Electric Assn Inc,CO,Cooperative, 7 ," 15,366 "," 315,260 ",4.87,,
Morgan County Rural Elec Assn,CO,Cooperative, 178 ," 2,984 "," 46,911 ",6.36,,
"Mountain Parks Electric, Inc",CO,Cooperative, 8 , 827 ," 17,215 ",4.80,,
"Mountain View Elec Assn, Inc",CO,Cooperative, 13 ," 4,214 "," 81,292 ",5.18,,
"Poudre Valley R E A, Inc",CO,Cooperative, 250 ," 18,375 "," 357,703 ",5.14,,
Public Service Co of Colorado,CO,Investor Owned, 264 ," 241,866 "," 4,688,829 ",5.16,,
"San Isabel Electric Assn, Inc",CO,Cooperative, 6 ," 2,978 "," 71,045 ",4.19,,
"San Luis Valley R E C, Inc",CO,Cooperative," 2,496 "," 10,236 "," 120,796 ",8.47,,
"San Miguel Power Assn, Inc",CO,Cooperative, 1 , 5 , 62 ,8.06,,
Southeast Colorado Power Assn,CO,Cooperative," 1,310 "," 3,331 "," 45,843 ",7.27,,
Town of Frederick,CO,Publicly Owned, 112 , 430 ," 5,196 ",8.28,,
"United Power, Inc",CO,Cooperative, 9 ," 6,036 "," 119,626 ",5.05,,
"White River Electric Assn, Inc",CO,Cooperative, 8 ," 9,923 "," 197,018 ",5.04,,
Yampa Valley Electric Assn Inc,CO,Cooperative, 15 ," 9,981 "," 143,178 ",6.97,,
Y-W Electric Assn Inc,CO,Cooperative," 2,206 "," 16,886 "," 241,346 ",7.00,,
Bozrah Light & Power Company,CT,Publicly Owned, 17 ," 10,549 "," 162,538 ",6.49,,
City of Norwich,CT,Publicly Owned, 27 ," 4,738 "," 52,471 ",9.03,,
Connecticut Light & Power Co,CT,Investor Owned," 3,988 "," 285,852 "," 3,479,764 ",8.21,,
Farmington River Power Company,CT,Investor Owned, 1 , 719 ," 42,831 ",1.68,,
Groton Dept of Utilities,CT,Publicly Owned, 3 ," 21,858 "," 343,492 ",6.36,,
Jewett City City of,CT,Publicly Owned, 1 , 30 , 327 ,9.17,,
Norwalk Third Taxing District,CT,Publicly Owned, 47 ," 1,527 "," 14,164 ",10.78,,
United Illuminating Co,CT,Investor Owned," 1,595 "," 82,087 "," 951,746 ",8.62,,
Wallingford Town of,CT,Publicly Owned, 27 ," 10,265 "," 168,070 ",6.11,,
City of Lewes,DE,Publicly Owned, 27 ," 2,770 "," 31,431 ",8.81,,
City of Milford,DE,Publicly Owned, 16 ," 5,290 "," 78,774 ",6.72,,
City of Seaford,DE,Publicly Owned, 73 ," 3,898 "," 55,685 ",7.00,,
Delaware Electric Coop Inc,DE,Cooperative, 1 , 620 ," 10,368 ",5.98,,
Delmarva Power & Light Company,DE,Investor Owned, 282 ," 87,194 "," 1,680,590 ",5.19,,
Dover City of,DE,Publicly Owned, 35 ," 18,664 "," 329,505 ",5.66,,
Newark City of,DE,Publicly Owned, 53 ," 15,300 "," 220,197 ",6.95,,
Town of Clayton,DE,Publicly Owned, 1 , 24 , 177 ,13.56,,
Town of Smyrna,DE,Publicly Owned, 68 ," 1,781 "," 10,418 ",17.10,,
Potomac Electric Power Co,DC,Investor Owned, -   ," 5,113 "," 87,208 ",5.86,,
Bartow City of,FL,Publicly Owned, 330 ," 8,288 "," 89,624 ",9.25,,
"Central Florida Elec Coop, Inc",FL,Cooperative, 23 ," 2,303 "," 35,331 ",6.52,,
"Choctawhatche Elec Coop, Inc",FL,Cooperative, 1 , 740 ," 16,262 ",4.55,,
City of Blountstown,FL,Publicly Owned, 28 , 88 ," 1,879 ",4.68,,
City of Chattahoochee,FL,Publicly Owned, 4 ," 1,672 "," 26,316 ",6.35,,
City of Clewiston,FL,Publicly Owned, 1 ," 1,889 "," 29,549 ",6.39,,
City of Green Cove Springs,FL,Publicly Owned, 6 , 979 ," 14,056 ",6.96,,
City of Homestead,FL,Publicly Owned, 355 ," 8,971 "," 114,097 ",7.86,,
City of Lakeland,FL,Publicly Owned, 88 ," 34,399 "," 541,258 ",6.36,,
City of Leesburg,FL,Publicly Owned, 424 ," 14,487 "," 211,623 ",6.85,,
City of Mount Dora,FL,Publicly Owned, 52 ," 1,188 "," 17,707 ",6.71,,
City of Newberry,FL,Publicly Owned, 34 , 406 ," 5,113 ",7.94,,
City of Ocala,FL,Publicly Owned," 1,100 "," 36,060 "," 583,000 ",6.19,,
City of Vero Beach,FL,Publicly Owned, 1 ," 1,029 "," 14,855 ",6.93,,
"Clay Electric Cooperative, Inc",FL,Cooperative, 20 ," 13,102 "," 274,126 ",4.78,,
"Florida Keys El Coop Assn, Inc",FL,Cooperative, 410 ," 13,963 "," 164,287 ",8.50,,
Florida Power & Light Company,FL,Investor Owned," 17,032 "," 235,586 "," 3,997,822 ",5.89,,
Florida Power Corp,FL,Investor Owned," 2,643 "," 218,649 "," 4,000,559 ",5.47,,
Florida Public Utilities Co,FL,Investor Owned, 2 ," 3,508 "," 90,580 ",3.87,,
Gainesville Regional Utilities,FL,Publicly Owned, 19 ," 10,596 "," 181,425 ",5.84,,
"Glades Electric Coop, Inc",FL,Cooperative, 11 ," 5,366 "," 82,424 ",6.51,,
Gulf Power Co,FL,Investor Owned, 285 ," 95,702 "," 2,146,956 ",4.46,,
Jacksonville Electric Authority,FL,Publicly Owned, 194 ," 110,745 "," 2,961,410 ",3.74,,
Key West City of,FL,Publicly Owned, 1 , 5 , 47 ,10.64,,
Kissimmee Utility Authority,FL,Publicly Owned, 230 ," 13,867 "," 197,295 ",7.03,,
New Smyrna Beach City of,FL,Publicly Owned, 105 ," 6,560 "," 80,734 ",8.13,,
Okefenoke Rural El Member Corp,FL,Cooperative, 1 , 283 ," 4,041 ",7.00,,
"Peace River Electric Coop, Inc",FL,Cooperative, 178 ," 6,013 "," 95,888 ",6.27,,
Quincy City of,FL,Publicly Owned, 1 ," 1,956 "," 29,287 ",6.68,,
"Sumter Electric Coop, Inc",FL,Cooperative, 587 ," 24,529 "," 421,969 ",5.81,,
Suwannee Valley Elec Coop Inc,FL,Cooperative, 7 ," 2,493 "," 52,530 ",4.75,,
"Talquin Electric Coop, Inc",FL,Cooperative, 3 ," 3,109 "," 55,338 ",5.62,,
Tampa Electric Co,FL,Investor Owned," 1,203 "," 153,884 "," 2,579,334 ",5.97,,
"Tri-County Electric Coop, Inc",FL,Cooperative, 200 ," 2,962 "," 43,376 ",6.83,,
Withlacoochee River Elec Coop,FL,Cooperative, 52 ," 13,042 "," 214,717 ",6.07,,
Altamaha Electric Member Corp,GA,Cooperative, 10 ," 14,162 "," 421,578 ",3.36,,
Blue Ridge Mountain E M C,GA,Cooperative, 2 , 350 ," 4,155 ",8.42,,
Canoochee Electric Member Corp,GA,Cooperative, 244 ," 3,556 "," 51,946 ",6.85,,
Carroll Electric Member Corp,GA,Cooperative, 21 ," 9,181 "," 229,735 ",4.00,,
Cartersville City of,GA,Publicly Owned, 26 ," 15,009 "," 325,569 ",4.61,,
Central Georgia El Member Corp,GA,Cooperative, 50 ," 6,979 "," 164,136 ",4.25,,
Chattanooga City of,GA,Publicly Owned, 2 ," 1,148 "," 21,266 ",5.40,,
City of Adel,GA,Publicly Owned, 18 ," 4,220 "," 80,436 ",5.25,,
City of Barnesville,GA,Publicly Owned, 1 , 704 ," 13,300 ",5.29,,
City of Blakely,GA,Publicly Owned, 4 , 869 ," 14,000 ",6.21,,
City of Buford,GA,Publicly Owned, 4 ," 3,316 "," 64,693 ",5.13,,
City of Cairo,GA,Publicly Owned, 24 ," 2,609 "," 46,879 ",5.57,,
City of Calhoun,GA,Publicly Owned, 23 ," 12,766 "," 235,791 ",5.41,,
City of Camilla,GA,Publicly Owned, 56 ," 5,181 "," 87,490 ",5.92,,
City of Chickamauga,GA,Publicly Owned, 1 , 456 ," 9,257 ",4.93,,
