"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                 Average Revenue per Kilowatthour for the Residential Sector by State,,,,,
"                 Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Bethel Utilities Corp,Investor-Owned,"1,524","2,735","9,813",27.87
Birch Creek Village Elec Util,Publicly Owned,19,20,30,66.67
Central Electric Inc,Investor-Owned,140,158,290,54.48
Chefornak City of,Publicly Owned,75,118,348,33.91
Chignik City of,Publicly Owned,57,62,197,31.47
Chitina Electric Inc,Investor-Owned,36,42,122,34.43
Chugach Electric Assn Inc,Cooperative,"64,533","58,703","534,869",10.98
City & Borough of Sitka,Publicly Owned,"3,487","3,546","39,248",9.03
"Copper Valley Elec Assn, Inc",Cooperative,"2,808","3,123","18,272",17.09
"Cordova Electric Coop, Inc",Cooperative,934,"1,339","5,507",24.31
Egegik Light & Power Co,Investor-Owned,49,84,150,56.00
Elfin Cove City of,Publicly Owned,46,54,187,28.88
"G & K, Inc",Investor-Owned,57,195,422,46.21
Galena Electric Utility,Publicly Owned,200,256,982,26.07
Golden Valley Electric Assn Inc,Cooperative,"32,342","29,212","289,559",10.09
Gustavus Electric Inc,Investor-Owned,345,447,827,54.05
Gwitchyaa Zhee Utility Co,Investor-Owned,247,280,760,36.84
Homer Electric Assn Inc,Cooperative,"21,133","18,988","156,912",12.10
Hughes Power & Light Co,Investor-Owned,28,18,63,28.57
Igiugig Electric Company,Publicly Owned,19,33,56,58.93
"I-N-N Electric Coop, Inc",Cooperative,182,411,"1,000",41.10
Ipnatchiaq Electric Company,Publicly Owned,44,91,236,38.56
Ketchikan City of,Publicly Owned,"5,625","5,277","56,913",9.27
King Cove City of,Publicly Owned,124,445,"2,300",19.35
Kodiak Electric Assn Inc,Cooperative,"4,478","5,045","31,174",16.18
Kokhanok Village Council,Publicly Owned,47,93,168,55.36
Kotlik City of,Publicly Owned,142,197,655,30.08
Kotzebue Electric Assn Inc,Cooperative,"1,042","1,897","7,529",25.20
Kuiggluum Kallugvia,Investor-Owned,160,320,710,45.07
Kwig Power Company,Publicly Owned,88,219,400,54.75
Larsen Bay City of,Publicly Owned,58,139,328,42.38
Manley Utility Co Inc,Investor-Owned,68,87,121,71.90
Manokotak City of,Publicly Owned,98,175,515,33.98
Matanuska Electric Assn Inc,Cooperative,"39,332","38,132","340,664",11.19
McGrath Light & Power Co,Investor-Owned,183,324,849,38.16
Metlakatla Power & Light,Publicly Owned,563,519,"5,603",9.26
Middle Kuskokwim Elec Coop Inc,Cooperative,125,294,400,73.50
"Naknek Electric Assn, Inc",Cooperative,717,889,"3,914",22.71
Napakiak Ircinraq Power Co,Investor-Owned,97,233,394,59.14
Native Village of Perryville,Publicly Owned,37,59,198,29.80
"Nelson Lagoon Elec Coop, Inc",Cooperative,42,145,345,42.03
Nome Joint Utility Systems,Publicly Owned,"1,564","1,843","8,973",20.54
North Slope Borough Power & Light,Publicly Owned,660,934,"4,600",20.30
"Nushagak Electric Coop, Inc",Cooperative,965,"1,346","6,032",22.31
Ouzinkie City of,Publicly Owned,81,108,332,32.53
Paxson Inn & Lodge,Investor-Owned,1,1,1,100.00
Pedro Bay Village Council,Publicly Owned,24,44,73,60.27
Pelican Utility,Investor-Owned,78,64,429,14.92
Petersburg City of,Publicly Owned,"1,328","1,256","12,825",9.79
Saint Paul City of,Publicly Owned,154,386,"1,107",34.87
Seward City of,Publicly Owned,"1,818","2,054","15,288",13.44
Tanana Power Co Inc,Investor-Owned,158,294,551,53.36
Tatitlek Electric Utility,Publicly Owned,31,55,139,39.57
"Teller Power Company, Inc",Investor-Owned,70,144,276,52.17
Tenakee Springs City of,Publicly Owned,97,69,217,31.80
Tlingit & Haida Region El Auth,Publicly Owned,"1,036","1,853","5,207",35.59
Tuntutuliak Comm Services Assn,Cooperative,77,165,358,46.09
Unalakleet Valley Elec Coop,Cooperative,257,419,"1,547",27.08
Unalaska City of,Publicly Owned,453,897,"4,135",21.69
White Mountain City of,Publicly Owned,68,118,275,42.91
Wrangell City of,Publicly Owned,"1,050",855,"7,454",11.47
"Yakutat Power, Inc",Publicly Owned,271,445,"1,706",26.08
 State Total,,"239,822","232,769","1,932,217",12.05
Arizona,,,,,
Ajo Improvement Company,Investor-Owned,847,547,"4,257",12.85
Ak-Chin Electric Utility Auth,Publicly Owned,257,278,"2,895",9.60
Arizona Public Service Co,Investor-Owned,"801,801","912,246","10,443,820",8.73
Citizens Communications Co,Investor-Owned,"64,764","53,184","639,559",8.32
Colorado River Indian Irr Proj,Federal,"3,857","2,560","34,481",7.42
"Columbus Electric Coop, Inc",Cooperative,329,202,"1,788",11.30
Continental Divide El Coop Inc,Cooperative,"1,339",193,"3,062",6.30
"Dixie Escalante R E A, Inc",Cooperative,"1,187",725,"11,798",6.15
"Duncan Valley Elec Coop, Inc",Cooperative,"1,730","1,338","14,633",9.14
Electrical Dist No2 Pinal Cnty,Publicly Owned,"2,336","2,652","31,249",8.49
Electrical Dist No3 Pinal Cnty,Publicly Owned,873,547,"5,796",9.44
Electrical Dist No4 Pinal Cnty,Publicly Owned,249,209,"3,723",5.61
Electrical Dist No5 Pinal Cnty,Publicly Owned,148,84,"1,890",4.44
Fredonia City of,Publicly Owned,554,270,"4,990",5.41
"Garkane Energy Coop, Inc",Cooperative,406,332,"4,286",7.75
"Graham County Electric Cooperative, Inc",Cooperative,"6,329","5,148","55,903",9.21
Hohokam Irr & Drain Dist,Publicly Owned,298,235,"2,568",9.15
Mesa City of,Publicly Owned,"13,270","12,263","146,397",8.38
"Mohave Electric Coop, Inc",Cooperative,"27,940","26,387","295,665",8.92
Morenci Water & Electric Co,Investor-Owned,"1,663","1,105","10,021",11.03
Navajo Tribal Utility Auth,Publicly Owned,"21,418","7,937","108,280",7.33
"Navopache Electric Coop, Inc",Cooperative,"28,745","14,957","170,902",8.75
Page Electric Utility,Publicly Owned,"3,233","2,402","35,517",6.76
Safford City of,Publicly Owned,"3,126","2,470","26,517",9.31
Salt River Project,Publicly Owned,"705,074","773,666","10,440,416",7.41
Sulphur Springs Valley E C Inc,Cooperative,"34,625","28,431","283,801",10.02
Thatcher Town of,Publicly Owned,765,502,"5,056",9.93
Tohono O'Odham Utility Auth,Publicly Owned,"3,098","2,621","24,297",10.79
Trico Electric Cooperative Inc,Cooperative,"25,765","26,828","253,899",10.57
Tucson Electric Power Co,Investor-Owned,"323,196","290,091","3,188,728",9.10
USBIA-San Carlos Project,Federal,"13,280","11,573","122,008",9.49
Wellton-Mohawk Irr & Drain Dist,Publicly Owned,"2,283","1,918","25,972",7.38
Wickenburg Town of,Publicly Owned,991,799,"8,440",9.47
 State Total,,"2,095,776","2,184,700","26,412,614",8.27
Arkansas,,,,,
Arkansas Valley Elec Coop Corp,Cooperative,"43,749","41,490","626,111",6.63
"Ashley Chicot Elec Coop, Inc",Cooperative,"3,840","4,458","53,271",8.37
Augusta City of,Publicly Owned,877,669,"9,536",7.02
Benton City of,Publicly Owned,"9,243","7,684","98,428",7.81
Bentonville City of,Publicly Owned,"9,364","7,378","123,093",5.99
C & L Electric Coop Corp,Cooperative,"18,208","17,112","229,229",7.47
Carroll Electric Coop Corp,Cooperative,"55,050","52,523","786,141",6.68
Clarksville Light & Water Co,Publicly Owned,"3,404","2,264","39,289",5.76
Clay County Electric Coop Corp,Cooperative,"10,399","8,185","102,649",7.97
Conway Corporation,Publicly Owned,"18,919","12,409","235,667",5.27
Craighead Electric Coop Corp,Cooperative,"21,304","21,159","302,922",6.98
Empire District Electric Co,Investor-Owned,"3,091","2,633","34,846",7.56
Entergy Arkansas Inc,Investor-Owned,"549,326","556,302","7,049,328",7.89
Farmers Electric Coop Corp,Cooperative,"4,347","3,537","50,430",7.01
First Electric Coop Corp,Cooperative,"66,383","70,199","946,362",7.42
Hope City of,Publicly Owned,"5,711","4,734","70,000",6.76
Jonesboro City of,Publicly Owned,"23,946","17,336","335,803",5.16
Mississippi County Electric Cooperative,Cooperative,"3,560","2,928","56,098",5.22
"North Arkansas Elec Coop, Inc",Cooperative,"29,734","27,862","346,599",8.04
North Little Rock City of,Publicly Owned,"31,932","31,218","356,790",8.75
Oklahoma Gas & Electric Co,Investor-Owned,"51,275","40,577","684,492",5.93
Osceola City of,Publicly Owned,"3,248","3,380","47,685",7.09
Ouachita Electric Coop Corp,Cooperative,"8,415","7,502","99,447",7.54
Ozarks Electric Coop Corp,Cooperative,"40,299","35,026","545,556",6.42
Paragould Light & Water Comm,Publicly Owned,"9,714","8,391","160,346",5.23
Paris City of,Publicly Owned,"1,596","1,209","19,616",6.16
Petit Jean Electric Coop Corp,Cooperative,"16,236","13,405","182,341",7.35
Piggott City of,Publicly Owned,"1,922","1,026","22,298",4.60
Prescott City of,Publicly Owned,"1,506","1,241","14,360",8.64
"Rich Mountain Elec Coop, Inc",Cooperative,"6,982","7,201","98,442",7.31
Siloam Springs City of,Publicly Owned,"5,159","3,433","50,000",6.87
"South Central Ark El Coop, Inc",Cooperative,"9,062","7,726","107,519",7.19
Southwest Arkansas E C C,Cooperative,"22,512","22,287","318,869",6.99
Southwestern Electric Power Co,Investor-Owned,"87,085","59,297","987,231",6.01
West Memphis City of,Publicly Owned,"10,426","8,431","151,371",5.57
Woodruff Electric Coop Corp,Cooperative,"13,999","14,048","185,209",7.58
 State Total,,"1,201,823","1,126,260","15,527,374",7.25
California,,,,,
Alameda City of,Publicly Owned,"29,164","15,461","132,994",11.63
Anaheim City of,Publicly Owned,"93,001","52,155","538,682",9.68
"Anza Electric Cooperative, Inc",Cooperative,"3,421","3,828","26,008",14.72
Azusa City of,Publicly Owned,"13,335","6,172","65,700",9.39
Banning City of,Publicly Owned,"9,693","7,408","56,470",13.12
Biggs City of,Publicly Owned,594,478,"4,186",11.42
Burbank City of,Publicly Owned,"44,726","29,688","238,448",12.45
Colton City of,Publicly Owned,"15,575","10,333","89,812",11.51
Escondido City of,Publicly Owned,1,4,267,1.50
Glendale City of,Publicly Owned,"70,788","40,389","355,347",11.37
Gridley City of,Publicly Owned,"1,928","1,262","11,718",10.77
Healdsburg City of,Publicly Owned,"4,381","3,154","24,596",12.82
Imperial Irrigation District,Publicly Owned,"90,670","115,043","1,144,142",10.05
Lassen Municipal Utility District,Publicly Owned,"9,090","8,222","68,065",12.08
Lodi City of,Publicly Owned,"23,029","19,250","136,941",14.06
Lompoc City of,Publicly Owned,"13,392","5,400","56,988",9.48
Los Angeles City of,Publicly Owned,"1,218,211","661,140","7,344,707",9.00
Merced Irrigation District,Publicly Owned,783,558,"4,679",11.93
Modesto Irrigation District,Publicly Owned,"85,991","71,004","789,907",8.99
Needles City of,Publicly Owned,"2,308","2,686","31,932",8.41
Pacific Gas & Electric Co,Investor-Owned,"4,157,696","2,559,350","19,088,200",13.41
PacifiCorp,Investor-Owned,"33,473","27,367","366,798",7.46
Palo Alto City of,Publicly Owned,"23,921","11,390","150,525",7.57
Pasadena City of,Publicly Owned,"52,492","29,095","245,154",11.87
Plumas-Sierra Rural Elec Coop,Cooperative,"5,812","5,274","58,176",9.07
Redding City of,Publicly Owned,"32,559","29,745","326,742",9.10
Riverside City of,Publicly Owned,"88,362","65,929","609,015",10.83
Roseville City of,Publicly Owned,"38,097","28,484","322,080",8.84
Sacramento Municipal Util Dist,Publicly Owned,"474,406","410,643","4,093,714",10.03
San Diego Gas & Electric Co,Investor-Owned,"1,120,246","648,673","3,149,807",20.59
Santa Clara City of,Publicly Owned,"40,110","16,705","216,192",7.73
Shasta Lake City of,Publicly Owned,"3,872","6,886","35,610",19.34
Sierra Pacific Power Co,Investor-Owned,"38,793","22,207","250,742",8.86
Southern California Edison Co,Investor-Owned,"3,926,094","2,741,003","20,369,957",13.46
Southern California Water Co,Investor-Owned,"20,341","10,808","69,915",15.46
Surprise Valley Electrification Corp.,Cooperative,"2,597","2,177","29,857",7.29
Trinity Public Utilities Dist,Publicly Owned,"5,542","3,477","44,759",7.77
Truckee Donner P U D,Publicly Owned,"10,424","7,579","68,042",11.14
Turlock Irrigation District,Publicly Owned,"56,480","48,547","551,132",8.81
Ukiah City of,Publicly Owned,"6,103","4,613","35,405",13.03
"Valley Electric Assn, Inc",Cooperative,8,9,94,9.57
Vernon City of,Publicly Owned,26,6,125,4.80
 State Total,,"11,867,535","7,733,602","61,203,630",12.64
Colorado,,,,,
Aquila Inc,Investor-Owned,"75,726","40,268","542,896",7.42
Aspen City of,Publicly Owned,"1,747","1,473","21,599",6.82
Burlington City of,Publicly Owned,"1,364",946,"10,662",8.87
Center City of,Publicly Owned,839,334,"5,191",6.43
Colorado Springs City of,Publicly Owned,"166,815","87,257","1,274,181",6.85
Delta City of,Publicly Owned,"2,046","1,187","14,424",8.23
Delta Montrose Electric Assn,Cooperative,"24,728","18,301","216,959",8.44
"Empire Electric Assn, Inc",Cooperative,"10,975","8,026","88,972",9.02
Estes Park Town of,Publicly Owned,"7,534","3,828","57,461",6.66
Fleming Town of,Publicly Owned,180,133,"1,820",7.31
Fort Collins City of,Publicly Owned,"50,402","25,898","422,426",6.13
Fort Morgan City of,Publicly Owned,"4,793","2,633","47,314",5.56
Fountain City of,Publicly Owned,"12,059","6,738","101,239",6.66
Frederick Town of,Publicly Owned,"1,886","1,289","15,445",8.35
Glenwood Springs City of,Publicly Owned,"4,201","2,353","31,224",7.54
Granada Town of,Publicly Owned,222,195,"1,626",11.99
"Grand Valley Rrl Pwr Line, Inc",Cooperative,"10,994","8,954","102,216",8.76
Gunnison City of,Publicly Owned,"3,008","1,274","22,729",5.61
Gunnison County Elec Assn.,Cooperative,"7,330","5,378","65,350",8.23
Haxtun Town of,Publicly Owned,588,455,"5,021",9.06
"High West Energy, Inc",Cooperative,587,398,"5,643",7.05
Highline Electric Assn,Cooperative,"4,826","3,267","45,882",7.12
Holly Town of,Publicly Owned,488,297,"3,572",8.31
"Holy Cross Electric Assn, Inc",Cooperative,"40,019","34,542","485,947",7.11
Holyoke City of,Publicly Owned,955,639,"11,324",5.64
Intermountain Rural Elec Assn,Cooperative,"99,794","85,638","1,062,908",8.06
Julesburg City of,Publicly Owned,702,386,"4,734",8.15
K C Electric Assn,Cooperative,"3,260","3,096","38,912",7.96
La Junta City of,Publicly Owned,"2,613","1,701","19,297",8.81
"La Plata Electric Assn, Inc",Cooperative,"28,402","19,362","221,996",8.72
Lamar City of,Publicly Owned,"4,430","2,912","34,437",8.46
Las Animas City of,Publicly Owned,"1,432",754,"9,775",7.71
Longmont City of,Publicly Owned,"31,148","15,531","261,045",5.95
Loveland City of,Publicly Owned,"23,477","11,158","191,741",5.82
Lyons Town of,Publicly Owned,856,415,"6,073",6.83
Moon Lake Electric Assn Inc,Cooperative,"1,437",764,"11,962",6.39
Morgan County Rural Elec Assn,Cooperative,"4,199","4,517","51,606",8.75
"Mountain Parks Electric, Inc",Cooperative,"13,264","9,347","119,931",7.79
"Mountain View Elec Assn, Inc",Cooperative,"31,008","29,096","326,486",8.91
Oak Creek Town of,Publicly Owned,499,313,"3,678",8.51
"Poudre Valley R E A, Inc",Cooperative,"27,408","20,719","306,470",6.76
Public Service Co of Colorado,Investor-Owned,"1,049,670","585,034","8,128,867",7.20
"San Isabel Electric Assn, Inc",Cooperative,"17,354","12,527","123,967",10.11
"San Luis Valley R E C, Inc",Cooperative,"7,995","6,006","56,953",10.55
"San Miguel Power Assn, Inc",Cooperative,"8,815","8,225","79,792",10.31
Sangre De Cristo Elec Assn Inc,Cooperative,"8,842","6,291","59,510",10.57
Southeast Colorado Power Assn,Cooperative,"7,432","6,360","59,237",10.74
Southwestern Electric Coop Inc,Cooperative,7,7,55,12.73
Springfield City of,Publicly Owned,784,420,"5,495",7.64
"Tri-County Electric Coop, Inc",Cooperative,6,9,94,9.57
Trinidad City of,Publicly Owned,"3,733","1,927","21,974",8.77
"United Power, Inc",Cooperative,"32,731","27,941","352,173",7.93
"Wheatland Electric Coop, Inc",Cooperative,33,23,195,11.79
"White River Electric Assn, Inc",Cooperative,"2,194","1,289","17,056",7.56
Wray City of,Publicly Owned,973,657,"8,475",7.75
Yampa Valley Electric Assn Inc,Cooperative,"18,491","14,257","181,654",7.85
Yuma City of,Publicly Owned,"1,197",829,"10,000",8.29
Y-W Electric Assn Inc,Cooperative,"4,771","3,663","47,175",7.76
 State Total,,"1,873,269","1,137,237","15,424,846",7.37
Connecticut,,,,,
Bozrah Light & Power Company,Publicly Owned,"2,173","2,318","20,984",11.05
Connecticut Light & Power Co,Investor-Owned,"1,034,205","1,019,364","9,525,042",10.70
Groton Dept of Utilities,Publicly Owned,"9,923","10,203","107,338",9.51
Jewett City City of,Publicly Owned,"1,786","1,504","12,597",11.94
Norwalk Third Taxing District,Publicly Owned,"3,159","2,890","28,368",10.19
Norwich City of,Publicly Owned,"16,661","12,175","117,661",10.35
South Norwalk City of,Publicly Owned,"4,792","3,468","38,514",9.00
United Illuminating Co,Investor-Owned,"287,632","281,307","2,247,196",12.52
Wallingford Town of,Publicly Owned,"20,217","15,198","201,498",7.54
 State Total,,"1,380,548","1,348,427","12,299,198",10.96
Delaware,,,,,
Clayton Town of,Publicly Owned,663,632,"6,035",10.47
Delaware Electric Coop Inc,Cooperative,"56,603","64,055","738,403",8.67
Delmarva Power & Light Company,Investor-Owned,"246,523","239,364","2,817,181",8.50
Dover City of,Publicly Owned,"17,294","17,055","179,763",9.49
Lewes City of,Publicly Owned,"2,955","2,501","28,662",8.73
Middletown Town of,Publicly Owned,"3,102","3,899","39,524",9.86
Milford City of,Publicly Owned,"4,150","5,245","47,273",11.10
New Castle Municipal Serv Comm,Publicly Owned,"2,107","1,903","19,228",9.90
Newark City of,Publicly Owned,"9,583","9,499","93,695",10.14
Seaford City of,Publicly Owned,"2,699","2,613","28,279",9.24
Smyrna Town of,Publicly Owned,"3,390","3,002","22,265",13.48
 State Total,,"349,069","349,768","4,020,308",8.70
District of Columbia,,,,,
Potomac Electric Power Co,Investor-Owned,"185,882","132,568","1,660,279",7.98
 State Total,,"185,882","132,568","1,660,279",7.98
Florida,,,,,
Alachua City of,Publicly Owned,"2,468","3,229","32,395",9.97
Bartow City of,Publicly Owned,"8,296","12,600","132,567",9.50
Blountstown City of,Publicly Owned,"1,003",846,"11,802",7.17
Bushnell City of,Publicly Owned,764,845,"8,383",10.08
"Central Florida Elec Coop, Inc",Cooperative,"26,989","27,584","334,519",8.25
Chattahoochee City of,Publicly Owned,"1,081","1,022","13,039",7.84
"Choctawhatche Elec Coop, Inc",Cooperative,"30,339","37,253","449,577",8.29
"Clay Electric Cooperative, Inc",Cooperative,"126,796","153,228","1,988,811",7.70
Clewiston City of,Publicly Owned,"3,323","4,681","52,929",8.84
"Escambia River Elec Coop, Inc",Cooperative,"8,417","10,488","128,931",8.13
"Florida Keys El Coop Assn, Inc",Cooperative,"25,177","28,333","375,378",7.55
Florida Power & Light Company,Investor-Owned,"3,566,169","4,081,407","50,875,435",8.02
Florida Power Corp,Investor-Owned,"1,301,515","1,627,049","18,753,816",8.68
Florida Public Utilities Co,Investor-Owned,"22,243","21,040","333,068",6.32
Fort Meade City of,Publicly Owned,"2,287","3,185","29,946",10.64
Fort Pierce Utilities Auth,Publicly Owned,"21,059","21,807","236,453",9.22
Gainesville Regional Utilities,Publicly Owned,"73,827","66,029","850,987",7.76
"Glades Electric Coop, Inc",Cooperative,"11,040","13,122","145,169",9.04
Green Cove Springs City of,Publicly Owned,"2,590","3,207","35,551",9.02
"Gulf Coast Electric Coop, Inc",Cooperative,"16,731","20,214","238,900",8.46
Gulf Power Co,Investor-Owned,"331,637","362,166","5,143,802",7.04
Havana Power & Light Company,Publicly Owned,"1,065","1,198","13,255",9.04
Homestead City of,Publicly Owned,"13,953","18,509","178,886",10.35
Jacksonville Beach City of,Publicly Owned,"26,126","38,337","443,765",8.64
Jacksonville Electric Authority,Publicly Owned,"331,890","347,437","5,072,732",6.85
Key West City of,Publicly Owned,"23,651","30,594","326,255",9.38
Kissimmee Utility Authority,Publicly Owned,"40,889","48,406","569,115",8.51
Lake Worth City of,Publicly Owned,"21,675","22,313","239,743",9.31
Lakeland City of,Publicly Owned,"91,301","122,050","1,391,549",8.77
"Lee County Electric Coop, Inc",Cooperative,"139,670","147,996","1,972,196",7.50
Leesburg City of,Publicly Owned,"15,863","16,579","208,782",7.94
Moore Haven City of,Publicly Owned,845,781,"10,500",7.44
Mount Dora City of,Publicly Owned,"4,410","4,033","52,780",7.64
New Smyrna Beach City of,Publicly Owned,"19,090","19,764","212,859",9.29
Newberry City of,Publicly Owned,899,"1,176","12,337",9.53
Ocala City of,Publicly Owned,"37,148","39,937","488,302",8.18
Okefenoke Rural El Member Corp,Cooperative,"8,231","11,033","135,580",8.14
Orlando Utilities Comm,Publicly Owned,"132,678","135,124","1,683,546",8.03
"Peace River Electric Coop, Inc",Cooperative,"21,976","27,232","309,713",8.79
Quincy City of,Publicly Owned,"3,849","4,156","46,966",8.85
Reedy Creek Improvement Dist,Publicly Owned,9,12,151,7.95
Starke City of,Publicly Owned,"1,975","2,162","26,028",8.31
"Sumter Electric Coop, Inc",Cooperative,"104,642","117,499","1,429,198",8.22
"Suwannee Valley Elec Coop, Inc",Cooperative,"19,779","24,493","287,894",8.51
Tallahassee City of,Publicly Owned,"81,208","84,930","1,047,942",8.10
"Talquin Electric Coop, Inc",Cooperative,"45,335","56,504","693,844",8.14
Tampa Electric Co,Investor-Owned,"518,554","753,936","8,046,430",9.37
"Tri-County Electric Coop, Inc",Cooperative,"14,182","15,400","158,936",9.69
Vero Beach City of,Publicly Owned,"26,016","30,178","360,043",8.38
Wauchula City of,Publicly Owned,"1,952","2,740","26,853",10.20
"West Florida El Coop Assn, Inc",Cooperative,"22,840","27,737","313,000",8.86
Williston City of,Publicly Owned,975,"1,117","11,190",9.98
Withlacoochee River Elec Coop,Cooperative,"149,841","170,273","2,221,997",7.66
 State Total,,"7,506,268","8,822,971","108,163,825",8.16
Georgia,,,,,
