"Table 15. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Commercial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Central Electric Inc,Investor-Owned,145,52,178,29.21
Chefornak City of,Publicly Owned,23,80,264,30.30
Chignik City of,Publicly Owned,19,90,287,31.36
Chitina Electric Inc,Investor-Owned,26,78,275,28.36
Chugach Electric Assn Inc,Cooperative,"8,050","49,010","560,934",8.74
City & Borough of Sitka,Publicly Owned,584,"2,652","28,856",9.19
"Copper Valley Elec Assn, Inc",Cooperative,659,"8,277","56,878",14.55
"Cordova Electric Coop, Inc",Cooperative,668,"2,154","10,501",20.51
Egegik Light & Power Co,Investor-Owned,39,202,363,55.65
Elfin Cove City of,Publicly Owned,22,35,127,27.56
"G & K, Inc",Investor-Owned,48,944,"2,045",46.16
Galena Electric Utility,Publicly Owned,74,399,"1,509",26.44
Golden Valley Electric Assn Inc,Cooperative,"5,406","12,604","128,372",9.82
Gustavus Electric Inc,Investor-Owned,78,164,353,46.46
Gwitchyaa Zhee Utility Co,Investor-Owned,70,400,"1,200",33.33
Homer Electric Assn Inc,Cooperative,"3,291","17,046","164,344",10.37
Hughes Power & Light Co,Investor-Owned,9,45,96,46.88
Igiugig Electric Company,Publicly Owned,9,54,97,55.67
"I-N-N Electric Coop, Inc",Cooperative,103,565,"1,000",56.50
Ipnatchiaq Electric Company,Publicly Owned,16,139,377,36.87
Ketchikan City of,Publicly Owned,"1,051","5,711","65,622",8.70
King Cove City of,Publicly Owned,5,17,200,8.50
Kokhanok Village Council,Publicly Owned,4,10,24,41.67
Kotlik City of,Publicly Owned,11,207,525,39.43
Kotzebue Electric Assn Inc,Cooperative,136,"2,872","12,401",23.16
Kuiggluum Kallugvia,Investor-Owned,5,119,252,47.22
Kwig Power Company,Publicly Owned,18,69,200,34.50
Larsen Bay City of,Publicly Owned,14,197,218,90.37
Manley Utility Co Inc,Investor-Owned,16,91,134,67.91
Manokotak City of,Publicly Owned,17,20,60,33.33
Matanuska Electric Assn Inc,Cooperative,"3,005","18,711","205,210",9.12
McGrath Light & Power Co,Investor-Owned,46,308,887,34.72
Metlakatla Power & Light,Publicly Owned,112,448,"3,947",11.35
Middle Kuskokwim Elec Coop Inc,Cooperative,35,233,350,66.57
"Naknek Electric Assn, Inc",Cooperative,321,"2,002","9,232",21.69
Napakiak Ircinraq Power Co,Investor-Owned,10,63,103,61.17
Native Village of Perryville,Publicly Owned,8,52,174,29.89
"Nelson Lagoon Elec Coop, Inc",Cooperative,11,56,19,294.74
Nome Joint Utility Systems,Publicly Owned,255,"2,317","12,405",18.68
North Slope Borough Power & Light,Publicly Owned,321,"6,459","19,800",32.62
"Nushagak Electric Coop, Inc",Cooperative,319,"1,812","8,242",21.98
Ouzinkie City of,Publicly Owned,7,75,217,34.56
Paxson Inn & Lodge,Investor-Owned,6,47,174,27.01
Pedro Bay Village Council,Publicly Owned,6,30,50,60.00
Pelican Utility,Investor-Owned,14,28,176,15.91
Petersburg City of,Publicly Owned,280,507,"5,648",8.98
Saint Paul City of,Publicly Owned,25,320,"1,049",30.51
Seward City of,Publicly Owned,300,838,"5,508",15.21
Tanana Power Co Inc,Investor-Owned,15,292,586,49.83
Tatitlek Electric Utility,Publicly Owned,16,60,153,39.22
"Teller Power Company, Inc",Investor-Owned,27,228,444,51.35
Tenakee Springs City of,Publicly Owned,28,47,142,33.10
Tlingit & Haida Region El Auth,Publicly Owned,184,"1,244","4,882",25.48
Tuntutuliak Comm Services Assn,Cooperative,6,31,67,46.27
Unalakleet Valley Elec Coop,Cooperative,70,534,"2,150",24.84
Unalaska City of,Publicly Owned,91,"1,665","8,618",19.32
White Mountain City of,Publicly Owned,14,96,223,43.05
Wrangell City of,Publicly Owned,466,"1,205","11,286",10.68
"Yakutat Power, Inc",Publicly Owned,73,772,"3,752",20.58
 State Total,,"37,681","226,791","2,238,236",10.13
Arizona,,,,,
Ajo Improvement Company,Investor-Owned,127,637,"6,442",9.89
Ak-Chin Electric Utility Auth,Publicly Owned,64,"1,106","16,286",6.79
Arizona Public Service Co,Investor-Owned,"95,575","795,998","10,589,065",7.52
Citizens Communications Co,Investor-Owned,"8,477","32,534","387,074",8.41
Colorado River Indian Irr Proj,Federal,691,"3,100","41,430",7.48
"Columbus Electric Coop, Inc",Cooperative,49,199,"2,243",8.87
Continental Divide El Coop Inc,Cooperative,311,111,"4,841",2.29
"Dixie Escalante R E A, Inc",Cooperative,167,251,"4,407",5.70
"Duncan Valley Elec Coop, Inc",Cooperative,132,350,"4,736",7.39
Electrical Dist No2 Pinal Cnty,Publicly Owned,339,"2,002","24,628",8.13
Electrical Dist No3 Pinal Cnty,Publicly Owned,90,517,"7,628",6.78
Electrical Dist No4 Pinal Cnty,Publicly Owned,99,755,"10,844",6.96
Electrical Dist No5 Pinal Cnty,Publicly Owned,84,177,"2,393",7.40
Fredonia City of,Publicly Owned,75,180,"3,034",5.93
"Garkane Energy Coop, Inc",Cooperative,113,358,"4,780",7.49
"Graham County Electric Cooperative, Inc",Cooperative,696,"3,645","44,573",8.18
Hohokam Irr & Drain Dist,Publicly Owned,32,218,"2,721",8.01
Mesa City of,Publicly Owned,"2,621","15,100","207,452",7.28
"Mohave Electric Coop, Inc",Cooperative,"3,273","13,664","182,984",7.47
Morenci Water & Electric Co,Investor-Owned,216,"1,395","13,637",10.23
Navajo Tribal Utility Auth,Publicly Owned,"1,446","4,848","90,798",5.34
"Navopache Electric Coop, Inc",Cooperative,"2,940","7,664","115,706",6.62
Page Electric Utility,Publicly Owned,772,"3,814","60,450",6.31
Safford City of,Publicly Owned,557,"2,867","31,428",9.12
Salt River Project,Publicly Owned,"63,037","521,868","8,358,335",6.24
Sulphur Springs Valley E C Inc,Cooperative,"7,988","25,045","277,116",9.04
Thatcher Town of,Publicly Owned,150,738,"10,439",7.07
Tohono O'Odham Utility Auth,Publicly Owned,533,"3,881","35,145",11.04
Trico Electric Cooperative Inc,Cooperative,38,"3,482","36,947",9.42
Tucson Electric Power Co,Investor-Owned,"31,527","168,159","1,609,366",10.45
USBIA-San Carlos Project,Federal,"1,832","10,392","131,252",7.92
Wellton-Mohawk Irr & Drain Dist,Publicly Owned,609,"2,274","37,414",6.08
Wickenburg Town of,Publicly Owned,366,"1,317","15,498",8.50
 State Total,,"225,026","1,628,646","22,371,092",7.28
Arkansas,,,,,
Arkansas Valley Elec Coop Corp,Cooperative,"2,335","5,207","88,782",5.86
"Ashley Chicot Elec Coop, Inc",Cooperative,"1,019","2,126","25,732",8.26
Augusta City of,Publicly Owned,139,577,"9,706",5.94
Benton City of,Publicly Owned,"1,672","5,105","72,052",7.09
Bentonville City of,Publicly Owned,"1,492","1,107","35,228",3.14
C & L Electric Coop Corp,Cooperative,"1,723","4,255","57,571",7.39
Carroll Electric Coop Corp,Cooperative,"3,950","11,516","211,967",5.43
Clarksville Light & Water Co,Publicly Owned,683,"1,929","28,745",6.71
Clay County Electric Coop Corp,Cooperative,"1,084","3,324","46,277",7.18
Conway Corporation,Publicly Owned,"2,365","6,480","110,941",5.84
Craighead Electric Coop Corp,Cooperative,"4,356","6,103","88,011",6.93
Empire District Electric Co,Investor-Owned,624,"1,990","29,422",6.76
Entergy Arkansas Inc,Investor-Owned,"78,985","304,489","5,221,073",5.83
Farmers Electric Coop Corp,Cooperative,522,874,"17,210",5.08
First Electric Coop Corp,Cooperative,"2,944","11,252","178,054",6.32
Hope City of,Publicly Owned,"1,070","6,879","132,000",5.21
Jonesboro City of,Publicly Owned,"4,374","13,666","264,810",5.16
Mississippi County Electric Cooperative,Cooperative,708,998,"18,476",5.40
"North Arkansas Elec Coop, Inc",Cooperative,"2,238","6,011","89,091",6.75
North Little Rock City of,Publicly Owned,"4,674","20,743","256,250",8.09
Oklahoma Gas & Electric Co,Investor-Owned,"8,265","28,814","705,086",4.09
Osceola City of,Publicly Owned,566,"1,526","31,712",4.81
Ouachita Electric Coop Corp,Cooperative,920,"3,773","62,484",6.04
Ozarks Electric Coop Corp,Cooperative,"1,169","2,516","38,093",6.60
Paragould Light & Water Comm,Publicly Owned,"1,595","3,882","82,220",4.72
Paris City of,Publicly Owned,268,651,"9,865",6.60
Petit Jean Electric Coop Corp,Cooperative,"1,366","3,152","51,457",6.13
Piggott City of,Publicly Owned,256,145,"2,637",5.50
Prescott City of,Publicly Owned,291,"1,150","14,488",7.94
"Rich Mountain Elec Coop, Inc",Cooperative,340,730,"12,044",6.06
Siloam Springs City of,Publicly Owned,797,"1,607","24,000",6.70
"South Central Ark El Coop, Inc",Cooperative,509,"1,032","14,563",7.09
Southwest Arkansas E C C,Cooperative,"1,679","4,592","68,945",6.66
Southwestern Electric Power Co,Investor-Owned,"14,533","44,637","940,205",4.75
West Memphis City of,Publicly Owned,"1,497","11,496","210,823",5.45
Woodruff Electric Coop Corp,Cooperative,684,"3,783","54,363",6.96
 State Total,,"151,692","528,117","9,304,383",5.68
California,,,,,
Alameda City of,Publicly Owned,"3,356","17,648","176,305",10.01
Anaheim City of,Publicly Owned,"16,031","64,915","607,300",10.69
"Anza Electric Cooperative, Inc",Cooperative,265,"1,639","10,608",15.45
Azusa City of,Publicly Owned,"1,409","6,623","65,419",10.12
Banning City of,Publicly Owned,"1,096","7,825","62,066",12.61
Biggs City of,Publicly Owned,37,155,"1,146",13.53
Burbank City of,Publicly Owned,"6,333","28,938","237,992",12.16
City & County of San Francisco,Publicly Owned,7,29,411,7.06
Colton City of,Publicly Owned,"1,897","10,398","81,699",12.73
Glendale City of,Publicly Owned,"12,441","37,114","320,252",11.59
Gridley City of,Publicly Owned,412,"1,912","18,129",10.55
Healdsburg City of,Publicly Owned,927,"4,447","39,120",11.37
Imperial Irrigation District,Publicly Owned,"15,677","135,006","1,283,418",10.52
Lassen Municipal Utility District,Publicly Owned,"1,402","5,595","43,176",12.96
Lodi City of,Publicly Owned,"3,515","5,866","148,144",3.96
Lompoc City of,Publicly Owned,"1,330","3,140","27,411",11.46
Los Angeles City of,Publicly Owned,"176,932","1,239,900","11,956,556",10.37
Merced Irrigation District,Publicly Owned,621,"13,551","109,118",12.42
Modesto Irrigation District,Publicly Owned,"11,959","48,601","658,291",7.38
Needles City of,Publicly Owned,456,"2,649","26,315",10.07
Pacific Gas & Electric Co,Investor-Owned,"555,228","3,392,836","22,933,040",14.79
PacifiCorp,Investor-Owned,"7,236","21,871","270,633",8.08
Palo Alto City of,Publicly Owned,"3,213","29,822","414,408",7.20
Pasadena City of,Publicly Owned,"4,469","16,514","146,379",11.28
Plumas-Sierra Rural Elec Coop,Cooperative,632,"1,065","10,604",10.04
Redding City of,Publicly Owned,"5,403","29,934","315,974",9.47
Riverside City of,Publicly Owned,"9,262","47,354","443,110",10.69
Roseville City of,Publicly Owned,"4,529","27,929","358,557",7.79
Sacramento Municipal Util Dist,Publicly Owned,"47,319","65,690","631,710",10.40
San Diego Gas & Electric Co,Investor-Owned,"132,822","632,405","3,042,710",20.78
Santa Clara City of,Publicly Owned,"5,622","9,209","82,235",11.20
Shasta Lake City of,Publicly Owned,335,"2,263","10,862",20.83
Sierra Pacific Power Co,Investor-Owned,"4,852","13,605","153,383",8.87
Southern California Edison Co,Investor-Owned,"481,494","4,137,147","26,434,396",15.65
Southern California Water Co,Investor-Owned,"1,495","8,442","47,725",17.69
Surprise Valley Electrification Corp.,Cooperative,759,561,"7,451",7.53
Trinity Public Utilities Dist,Publicly Owned,"1,095","1,887","24,811",7.61
Truckee Donner P U D,Publicly Owned,"1,136","5,122","46,450",11.03
Turlock Irrigation District,Publicly Owned,"6,607","11,736","129,187",9.08
Ukiah City of,Publicly Owned,"1,482","4,182","28,709",14.57
"Valley Electric Assn, Inc",Cooperative,19,534,"7,717",6.92
Vernon City of,Publicly Owned,"1,024","19,603","240,566",8.15
 State Total,,"1,532,136","10,115,662","71,653,493",14.12
Colorado,,,,,
Aquila Inc,Investor-Owned,"10,704","34,557","604,326",5.72
Aspen City of,Publicly Owned,798,"2,569","36,867",6.97
Burlington City of,Publicly Owned,202,217,"2,344",9.26
Center City of,Publicly Owned,140,145,"2,318",6.26
Colorado Springs City of,Publicly Owned,"21,815","80,424","1,376,755",5.84
Delta City of,Publicly Owned,417,772,"9,861",7.83
Delta Montrose Electric Assn,Cooperative,"2,630","4,851","58,859",8.24
"Empire Electric Assn, Inc",Cooperative,"2,164","6,891","89,771",7.68
Estes Park Town of,Publicly Owned,"1,517","3,392","54,145",6.26
Fleming Town of,Publicly Owned,37,27,370,7.30
Fort Collins City of,Publicly Owned,"6,185","24,860","458,585",5.42
Fort Morgan City of,Publicly Owned,931,"5,276","95,603",5.52
Fountain City of,Publicly Owned,724,870,"12,164",7.15
Frederick Town of,Publicly Owned,801,"1,335","19,069",7.00
Glenwood Springs City of,Publicly Owned,"1,095","5,440","75,643",7.19
Granada Town of,Publicly Owned,47,125,"1,194",10.47
"Grand Valley Rrl Pwr Line, Inc",Cooperative,"1,440","3,643","43,305",8.41
Gunnison City of,Publicly Owned,809,"1,343","27,985",4.80
Gunnison County Elec Assn.,Cooperative,"1,254","2,516","35,467",7.09
Haxtun Town of,Publicly Owned,101,155,"2,376",6.52
"High West Energy, Inc",Cooperative,63,263,"3,968",6.63
Highline Electric Assn,Cooperative,"1,018","2,848","50,230",5.67
Holly Town of,Publicly Owned,180,320,"3,415",9.37
"Holy Cross Electric Assn, Inc",Cooperative,"7,927","26,293","465,407",5.65
Holyoke City of,Publicly Owned,176,180,"3,317",5.43
Intermountain Rural Elec Assn,Cooperative,"8,237","34,120","485,736",7.02
Julesburg City of,Publicly Owned,148,447,"5,395",8.29
K C Electric Assn,Cooperative,"2,331","3,967","64,360",6.16
La Junta City of,Publicly Owned,"1,041","1,142","11,565",9.87
"La Plata Electric Assn, Inc",Cooperative,"4,793","17,703","211,935",8.35
Lamar City of,Publicly Owned,743,"3,636","48,544",7.49
Las Animas City of,Publicly Owned,263,707,"10,026",7.05
Longmont City of,Publicly Owned,"4,183","14,863","330,646",4.50
Loveland City of,Publicly Owned,"3,006","3,393","66,396",5.11
Lyons Town of,Publicly Owned,130,229,"3,298",6.94
Moon Lake Electric Assn Inc,Cooperative,"1,043","7,731","119,235",6.48
Morgan County Rural Elec Assn,Cooperative,909,"1,245","15,133",8.23
"Mountain Parks Electric, Inc",Cooperative,"2,844","5,768","95,978",6.01
"Mountain View Elec Assn, Inc",Cooperative,"2,451","8,805","120,321",7.32
Oak Creek Town of,Publicly Owned,60,162,"1,911",8.48
"Poudre Valley R E A, Inc",Cooperative,"2,722","3,317","46,274",7.17
Public Service Co of Colorado,Investor-Owned,"138,157","661,969","12,396,124",5.34
"San Isabel Electric Assn, Inc",Cooperative,"2,305","6,355","67,457",9.42
"San Luis Valley R E C, Inc",Cooperative,869,"2,629","29,953",8.78
"San Miguel Power Assn, Inc",Cooperative,"2,165","6,906","81,071",8.52
Sangre De Cristo Elec Assn Inc,Cooperative,794,"2,554","33,108",7.71
Southeast Colorado Power Assn,Cooperative,"1,167","4,871","59,284",8.22
Southwestern Electric Coop Inc,Cooperative,2,3,27,11.11
Springfield City of,Publicly Owned,155,208,"2,621",7.94
"Tri-County Electric Coop, Inc",Cooperative,28,16,116,13.79
Trinidad City of,Publicly Owned,644,"2,159","25,700",8.40
"United Power, Inc",Cooperative,"5,638","23,108","342,474",6.75
"Wheatland Electric Coop, Inc",Cooperative,20,23,151,15.23
"White River Electric Assn, Inc",Cooperative,541,"1,832","26,296",6.97
Wray City of,Publicly Owned,279,945,"12,471",7.58
Yampa Valley Electric Assn Inc,Cooperative,"3,647","12,615","156,596",8.06
Yuma City of,Publicly Owned,237,678,"9,000",7.53
Y-W Electric Assn Inc,Cooperative,"1,163","1,720","25,891",6.64
 State Total,,"255,890","1,045,138","18,438,437",5.67
Connecticut,,,,,
Bozrah Light & Power Company,Publicly Owned,273,716,"5,895",12.15
Connecticut Light & Power Co,Investor-Owned,"103,335","870,976","9,561,822",9.11
Groton Dept of Utilities,Publicly Owned,"1,142","10,045","120,168",8.36
Jewett City City of,Publicly Owned,205,531,"4,772",11.13
Norwalk Third Taxing District,Publicly Owned,460,"2,062","18,023",11.44
Norwich City of,Publicly Owned,"1,988","11,055","129,629",8.53
South Norwalk City of,Publicly Owned,"1,030","3,333","25,540",13.05
United Illuminating Co,Investor-Owned,"29,757","256,077","2,465,711",10.39
Wallingford Town of,Publicly Owned,"3,108","13,736","200,187",6.86
 State Total,,"141,298","1,168,531","12,531,747",9.32
Delaware,,,,,
Clayton Town of,Publicly Owned,51,263,"2,874",9.15
Delaware Electric Coop Inc,Cooperative,"5,586","10,343","136,572",7.57
Delmarva Power & Light Company,Investor-Owned,"29,203","218,310","3,166,888",6.89
Dover City of,Publicly Owned,"2,623","18,536","215,077",8.62
Lewes City of,Publicly Owned,363,948,"10,065",9.42
Middletown Town of,Publicly Owned,481,"2,906","31,865",9.12
Milford City of,Publicly Owned,840,"4,755","50,029",9.50
New Castle Municipal Serv Comm,Publicly Owned,270,"3,899","51,751",7.53
Newark City of,Publicly Owned,"1,271","6,883","65,212",10.55
Seaford City of,Publicly Owned,593,"1,445","14,366",10.06
Smyrna Town of,Publicly Owned,350,710,"5,950",11.93
 State Total,,"41,631","268,998","3,750,649",7.17
District of Columbia,,,,,
Potomac Electric Power Co,Investor-Owned,"21,509","272,934","3,635,358",7.51
 State Total,,"21,509","272,934","3,635,358",7.51
Florida,,,,,
Alachua City of,Publicly Owned,575,"3,706","49,698",7.46
Bartow City of,Publicly Owned,968,"2,772","23,405",11.84
Blountstown City of,Publicly Owned,300,"1,699","26,036",6.53
Bushnell City of,Publicly Owned,247,"1,518","17,484",8.68
"Central Florida Elec Coop, Inc",Cooperative,"2,124","5,870","71,066",8.26
Chattahoochee City of,Publicly Owned,140,403,"4,819",8.36
"Choctawhatche Elec Coop, Inc",Cooperative,"4,054","9,248","128,080",7.22
"Clay Electric Cooperative, Inc",Cooperative,"13,828","37,483","551,524",6.80
Clewiston City of,Publicly Owned,596,"4,475","47,763",9.37
"Escambia River Elec Coop, Inc",Cooperative,954,"2,945","34,001",8.66
"Florida Keys El Coop Assn, Inc",Cooperative,"4,617","8,524","108,839",7.83
Florida Power & Light Company,Investor-Owned,"435,322","2,666,940","40,037,337",6.66
Florida Power Corp,Investor-Owned,"150,577","720,003","11,420,084",6.30
Florida Public Utilities Co,Investor-Owned,"3,996","16,403","306,105",5.36
Fort Meade City of,Publicly Owned,212,869,"9,275",9.37
Fort Pierce Utilities Auth,Publicly Owned,"4,242","28,072","343,301",8.18
Gainesville Regional Utilities,Publicly Owned,"8,778","48,471","720,781",6.72
"Glades Electric Coop, Inc",Cooperative,"3,886","8,078","80,331",10.06
Green Cove Springs City of,Publicly Owned,570,"4,430","48,597",9.12
"Gulf Coast Electric Coop, Inc",Cooperative,"1,113","3,771","51,878",7.27
Gulf Power Co,Investor-Owned,"49,139","205,606","3,552,931",5.79
Havana Power & Light Company,Publicly Owned,230,918,"10,675",8.60
Homestead City of,Publicly Owned,"1,653","3,583","30,567",11.72
Jacksonville Beach City of,Publicly Owned,"5,020","23,711","261,744",9.06
Jacksonville Electric Authority,Publicly Owned,"37,305","208,931","3,839,135",5.44
Key West City of,Publicly Owned,"3,510","33,774","391,179",8.63
Kissimmee Utility Authority,Publicly Owned,"9,323","28,927","364,264",7.94
Lake Worth City of,Publicly Owned,"3,190","16,362","167,156",9.79
Lakeland City of,Publicly Owned,"10,772","53,344","690,475",7.73
"Lee County Electric Coop, Inc",Cooperative,"15,772","60,927","926,919",6.57
Leesburg City of,Publicly Owned,"2,753","5,416","63,027",8.59
Moore Haven City of,Publicly Owned,120,567,"7,000",8.10
Mount Dora City of,Publicly Owned,693,"1,163","16,527",7.04
New Smyrna Beach City of,Publicly Owned,"1,720","4,315","46,637",9.25
Newberry City of,Publicly Owned,96,167,"1,587",10.52
Ocala City of,Publicly Owned,"6,468","10,178","127,769",7.97
Okefenoke Rural El Member Corp,Cooperative,438,783,"9,622",8.14
Orlando Utilities Comm,Publicly Owned,"20,988","184,288","3,132,592",5.88
"Peace River Electric Coop, Inc",Cooperative,"4,287","8,973","123,084",7.29
Quincy City of,Publicly Owned,810,"5,002","62,205",8.04
Reedy Creek Improvement Dist,Publicly Owned,"1,060","63,492","930,831",6.82
Starke City of,Publicly Owned,657,"4,518","42,769",10.56
"Sumter Electric Coop, Inc",Cooperative,"10,984","12,630","138,185",9.14
"Suwannee Valley Elec Coop, Inc",Cooperative,"1,578","3,913","43,891",8.92
Tallahassee City of,Publicly Owned,"11,979","88,940","1,457,444",6.10
"Talquin Electric Coop, Inc",Cooperative,"3,078","11,061","149,918",7.38
Tampa Electric Co,Investor-Owned,"64,665","459,569","5,831,617",7.88
"Tri-County Electric Coop, Inc",Cooperative,"1,525","2,550","24,693",10.33
Vero Beach City of,Publicly Owned,"5,073","24,915","340,190",7.32
Wauchula City of,Publicly Owned,531,"3,382","36,733",9.21
"West Florida El Coop Assn, Inc",Cooperative,"2,368","2,690","33,000",8.15
Williston City of,Publicly Owned,257,"1,578","15,615",10.11
Withlacoochee River Elec Coop,Cooperative,"14,488","38,237","610,965",6.26
 State Total,,"929,629","5,150,090","77,561,350",6.64
Georgia,,,,,
Acworth City of,Publicly Owned,629,"2,609","26,692",9.77
Adel City of,Publicly Owned,490,"5,140","90,418",5.68
Albany Water Gas & Light Comm,Publicly Owned,"5,512","34,549","524,960",6.58
Altamaha Electric Member Corp,Cooperative,"1,592","4,712","62,473",7.54
Amicalola Electric Member Corp,Cooperative,"3,453","6,558","74,356",8.82
Barnesville City of,Publicly Owned,275,"1,338","15,100",8.86
Blakely City of,Publicly Owned,412,"2,657","31,184",8.52
Blue Ridge Mountain E M C,Cooperative,"5,161","9,644","121,302",7.95
Buford City of,Publicly Owned,649,"4,551","52,965",8.59
