"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
City of Akutan,AK,Publicly Owned, 65 , 90 , 500 ,18.00
City of Chefornak,AK,Publicly Owned, 78 , 124 , 364 ,34.07
City of Chignik,AK,Publicly Owned, 59 , 75 , 223 ,33.63
City of Elfin Cove,AK,Publicly Owned, 43 , 54 , 184 ,29.35
City of King Cove,AK,Publicly Owned, 171 , 161 , 803 ,20.05
City of Kotlik,AK,Publicly Owned, 143 , 202 , 714 ,28.29
City of Larsen Bay,AK,Publicly Owned, 48 , 78 , 268 ,29.10
City of Manokotak,AK,Publicly Owned, 98 , 276 , 813 ,33.95
City of Ouzinkie,AK,Publicly Owned, 82 , 108 , 341 ,31.67
City of Petersburg,AK,Publicly Owned," 1,333 "," 1,265 "," 13,248 ",9.55
City of Saint Paul,AK,Publicly Owned, 154 , 394 ," 1,040 ",37.88
City of Tenakee Springs,AK,Publicly Owned, 99 , 73 , 230 ,31.74
City of Unalaska,AK,Publicly Owned, 456 ," 1,007 "," 4,251 ",23.69
City of White Mountain,AK,Publicly Owned, 71 , 118 , 275 ,42.91
City of Wrangell,AK,Publicly Owned," 1,045 ", 844 ," 7,355 ",11.48
"Copper Valley Elec Assn, Inc",AK,Cooperative," 2,860 "," 3,275 "," 18,236 ",17.96
"Cordova Electric Coop, Inc",AK,Cooperative, 935 ," 1,466 "," 5,435 ",26.97
Egegik Light & Power Co,AK,Investor Owned, 50 , 74 , 130 ,56.92
"G & K, Inc",AK,Investor Owned, 57 , 184 , 404 ,45.54
Galena Electric Utility,AK,Publicly Owned, 212 , 266 ," 1,021 ",26.05
Golden Valley Electric Assn Inc,AK,Cooperative," 33,215 "," 31,609 "," 301,916 ",10.47
Gustavus Electric Inc,AK,Investor Owned, 365 , 473 , 878 ,53.87
Gwitchyaa Zhee Utility Co,AK,Investor Owned, 252 , 323 , 957 ,33.75
Homer Electric Assn Inc,AK,Cooperative," 21,640 "," 18,607 "," 160,667 ",11.58
Hughes Power & Light Co,AK,Investor Owned, 28 , 34 , 67 ,50.75
Igiugig Electric Company,AK,Publicly Owned, 18 , 34 , 59 ,57.63
"I-N-N Electric Coop, Inc",AK,Cooperative, 208 , 459 , 911 ,50.38
Ipnatchiaq Electric Company,AK,Publicly Owned, 48 , 100 , 258 ,38.76
Ketchikan City of,AK,Publicly Owned," 6,064 "," 5,562 "," 58,668 ",9.48
Kodiak Electric Assn Inc,AK,Cooperative," 4,631 "," 5,386 "," 32,361 ",16.64
Kokhanok Village Council,AK,Publicly Owned, 48 , 97 , 171 ,56.73
Kotzebue Electric Assn Inc,AK,Cooperative," 1,042 "," 1,939 "," 7,984 ",24.29
Kuiggluum Kallugvia,AK,Investor Owned, 182 , 292 , 648 ,45.06
Kwig Power Company,AK,Publicly Owned, 88 , 220 , 437 ,50.34
Manley Utility Co Inc,AK,Investor Owned, 72 , 92 , 124 ,74.19
Matanuska Electric Assn Inc,AK,Cooperative," 41,566 "," 38,309 "," 368,675 ",10.39
McGrath Light & Power Co,AK,Investor Owned, 176 , 315 , 826 ,38.14
Metlakatla Power & Light,AK,Publicly Owned, 568 , 519 ," 5,608 ",9.25
Middle Kuskokwim Elec Coop Inc,AK,Cooperative, 128 , 289 , 412 ,70.15
"Naknek Electric Assn, Inc",AK,Cooperative, 710 , 911 ," 3,961 ",23.00
Napakiak Ircinraq Power Co,AK,Investor Owned, 97 , 233 , 394 ,59.14
Native Village of Perryville,AK,Publicly Owned, 35 , 58 , 198 ,29.29
Nelson Lagoon Elec Coop Inc,AK,Cooperative, 70 , 84 , 201 ,41.79
Nome Joint Utility Systems,AK,Publicly Owned," 1,561 "," 1,868 "," 9,156 ",20.40
North Slope Borough Power & Light,AK,Publicly Owned, 646 ," 1,081 "," 5,194 ",20.81
"Nushagak Electric Coop, Inc",AK,Cooperative, 963 ," 1,369 "," 6,022 ",22.73
Paxson Inn & Lodge,AK,Investor Owned, 1 , 1 , 12 ,8.33
Pedro Bay Village Council,AK,Publicly Owned, 22 , 39 , 65 ,60.00
Pelican Utility,AK,Investor Owned, 80 , 82 , 535 ,15.33
Seward City of,AK,Publicly Owned," 1,938 "," 2,033 "," 15,587 ",13.04
Sitka City & Borough of,AK,Publicly Owned," 4,169 "," 3,613 "," 38,973 ",9.27
Tanana Power Co Inc,AK,Investor Owned, 161 , 262 , 452 ,57.96
Tatitlek Electric Utility,AK,Publicly Owned, 36 , 50 , 129 ,38.76
"Teller Power Company, Inc",AK,Investor Owned, 70 , 144 , 276 ,52.17
Tlingit & Haida Region El Auth,AK,Publicly Owned," 1,040 "," 1,951 "," 5,258 ",37.11
Tuntutuliak Comm Services Assn,AK,Cooperative, 77 , 165 , 358 ,46.09
Unalakleet Valley Elec Coop,AK,Cooperative, 259 , 421 ," 1,551 ",27.14
Yakutat Power Inc,AK,Publicly Owned, 276 , 494 ," 1,696 ",29.13
Ajo Improvement Company,AZ,Investor Owned, 841 , 566 ," 4,528 ",12.50
Ak-Chin Electric Utility Auth,AZ,Publicly Owned, 256 , 312 ," 3,295 ",9.47
Arizona Public Service Co,AZ,Investor Owned," 828,366 "," 960,305 "," 11,147,195 ",8.61
City of Fredonia,AZ,Publicly Owned, 636 , 274 ," 5,030 ",5.45
City of Mesa,AZ,Publicly Owned," 13,160 "," 12,705 "," 143,514 ",8.85
City of Safford,AZ,Publicly Owned," 3,107 "," 2,583 "," 27,360 ",9.44
Colorado River Indian Irr Proj,AZ,Federal," 3,838 "," 2,741 "," 36,943 ",7.42
"Columbus Electric Coop, Inc",AZ,Cooperative, 342 , 220 ," 1,929 ",11.40
"Dixie Escalante R E A, Inc",AZ,Cooperative," 1,291 ", 800 ," 13,077 ",6.12
"Duncan Valley Elec Coop, Inc",AZ,Cooperative," 1,828 "," 1,338 "," 14,777 ",9.05
Electrical Dist No2 Pinal Cnty,AZ,Publicly Owned," 2,381 "," 2,672 "," 31,186 ",8.57
Electrical Dist No3 Pinal Cnty,AZ,Publicly Owned," 1,208 "," 1,628 "," 17,758 ",9.17
Electrical Dist No4 Pinal Cnty,AZ,Publicly Owned, 258 , 249 ," 4,171 ",5.97
Electrical Dist No5 Pinal Cnty,AZ,Publicly Owned, 158 , 83 ," 1,853 ",4.48
"Garkane Energy Coop, Inc",AZ,Cooperative, 449 , 361 ," 4,810 ",7.51
Graham County Electric Coop Inc,AZ,Cooperative," 6,386 "," 5,483 "," 58,484 ",9.38
Hohokam Irr & Drain Dist,AZ,Publicly Owned, 361 , 301 ," 3,349 ",8.99
"Mohave Electric Coop, Inc",AZ,Cooperative," 28,869 "," 27,942 "," 320,426 ",8.72
Morenci Water & Electric Co,AZ,Investor Owned," 1,617 "," 1,115 "," 10,170 ",10.96
Navajo Tribal Utility Auth,AZ,Publicly Owned," 25,325 "," 11,547 "," 150,871 ",7.65
"Navopache Electric Coop, Inc",AZ,Cooperative," 28,745 "," 17,927 "," 179,735 ",9.97
Page Electric Utility,AZ,Publicly Owned," 2,960 "," 2,391 "," 35,622 ",6.71
Salt River Project,AZ,Publicly Owned," 727,017 "," 846,412 "," 11,091,296 ",7.63
Sulphur Springs Valley E C Inc,AZ,Cooperative," 35,990 "," 31,235 "," 291,136 ",10.73
Tohono O'Odham Utility Auth,AZ,Publicly Owned," 3,140 "," 2,684 "," 25,656 ",10.46
Town of Thatcher,AZ,Publicly Owned, 772 , 525 ," 5,060 ",10.38
Town of Wickenburg,AZ,Publicly Owned," 1,011 ", 846 ," 9,679 ",8.74
Trico Electric Coop Inc,AZ,Cooperative," 26,853 "," 29,277 "," 275,538 ",10.63
Tucson Electric Power Co,AZ,Investor Owned," 334,886 "," 307,023 "," 3,370,540 ",9.11
UNS Electric Inc,AZ,Power Marketer," 67,538 "," 30,174 "," 301,540 ",10.01
USBIA-San Carlos Project,AZ,Federal," 13,539 "," 12,015 "," 127,569 ",9.42
Wellton-Mohawk Irr & Drain Dist,AZ,Publicly Owned," 2,771 "," 1,975 "," 27,423 ",7.20
Arkansas Valley Elec Coop Corp,AR,Cooperative," 44,668 "," 46,436 "," 635,267 ",7.31
"Ashley Chicot Elec Coop, Inc",AR,Cooperative," 3,854 "," 4,829 "," 52,658 ",9.17
Benton City of,AR,Publicly Owned," 9,391 "," 7,620 "," 107,006 ",7.12
C & L Electric Coop Corp,AR,Cooperative," 18,401 "," 18,265 "," 235,691 ",7.75
Carroll Electric Coop Corp,AR,Cooperative," 56,994 "," 55,527 "," 810,566 ",6.85
City of Augusta,AR,Publicly Owned, 875 , 679 ," 9,162 ",7.41
City of Bentonville,AR,Publicly Owned," 9,791 "," 5,992 "," 108,156 ",5.54
City of Hope,AR,Publicly Owned," 5,688 "," 4,212 "," 70,000 ",6.02
City of North Little Rock,AR,Publicly Owned," 31,923 "," 31,397 "," 347,140 ",9.04
City of Osceola,AR,Publicly Owned," 3,217 "," 3,342 "," 45,791 ",7.30
City of Paris,AR,Publicly Owned," 1,685 "," 1,501 "," 19,737 ",7.61
City of Prescott,AR,Publicly Owned," 1,505 "," 1,223 "," 14,402 ",8.49
City of Siloam Springs,AR,Publicly Owned," 5,294 "," 3,619 "," 51,551 ",7.02
City of West Memphis,AR,Publicly Owned," 10,437 "," 8,107 "," 147,396 ",5.50
Clarksville Light & Water Co,AR,Publicly Owned," 3,481 "," 2,265 "," 39,908 ",5.68
Clay County Electric Coop Corp,AR,Cooperative," 10,247 "," 8,973 "," 98,618 ",9.10
Conway Corporation,AR,Publicly Owned," 19,714 "," 12,574 "," 239,923 ",5.24
Craighead Electric Coop Corp,AR,Cooperative," 21,411 "," 22,244 "," 303,671 ",7.33
Empire District Electric Co,AR,Investor Owned," 3,158 "," 2,470 "," 35,382 ",6.98
Entergy Arkansas Inc,AR,Investor Owned," 557,963 "," 525,546 "," 7,056,948 ",7.45
Farmers Electric Coop Corp,AR,Cooperative," 4,373 "," 3,614 "," 49,651 ",7.28
First Electric Coop Corp,AR,Cooperative," 67,904 "," 74,540 "," 947,868 ",7.86
Jonesboro City of,AR,Publicly Owned," 24,176 "," 16,761 "," 334,012 ",5.02
Mississippi County Electric Coop,AR,Cooperative," 3,498 "," 3,032 "," 54,715 ",5.54
"North Arkansas Elec Coop, Inc",AR,Cooperative," 30,434 "," 28,930 "," 350,942 ",8.24
Oklahoma Gas & Electric Co,AR,Investor Owned," 51,508 "," 44,509 "," 674,467 ",6.60
Ouachita Electric Coop Corp,AR,Cooperative," 8,461 "," 7,629 "," 99,724 ",7.65
Ozarks Electric Coop Corp,AR,Cooperative," 42,058 "," 37,675 "," 557,968 ",6.75
Paragould Light & Water Comm,AR,Publicly Owned," 9,904 "," 8,740 "," 162,052 ",5.39
Petit Jean Electric Coop Corp,AR,Cooperative," 16,807 "," 14,550 "," 189,183 ",7.69
Piggott City of,AR,Publicly Owned," 1,929 "," 1,358 "," 21,199 ",6.41
"Rich Mountain Elec Coop, Inc",AR,Cooperative," 7,042 "," 7,480 "," 95,967 ",7.79
"South Central Ark El Coop, Inc",AR,Cooperative," 9,096 "," 8,348 "," 107,063 ",7.80
Southwest Arkansas E C C,AR,Cooperative," 22,611 "," 23,603 "," 318,915 ",7.40
Southwestern Electric Power Co,AR,Investor Owned," 88,388 "," 67,866 "," 1,017,381 ",6.67
Woodruff Electric Coop Corp,AR,Cooperative," 14,004 "," 14,371 "," 188,221 ",7.64
Anza Electric Coop Inc,CA,Cooperative," 3,487 "," 4,090 "," 27,463 ",14.89
Banning City of,CA,Publicly Owned," 10,110 "," 8,376 "," 64,842 ",12.92
City of Alameda,CA,Publicly Owned," 29,237 "," 15,451 "," 132,833 ",11.63
City of Anaheim,CA,Publicly Owned," 93,401 "," 56,323 "," 592,637 ",9.50
City of Azusa,CA,Publicly Owned," 13,485 "," 6,738 "," 69,137 ",9.75
City of Biggs,CA,Publicly Owned, 604 , 545 ," 4,539 ",12.01
City of Burbank,CA,Publicly Owned," 44,460 "," 30,740 "," 242,448 ",12.68
City of Colton,CA,Publicly Owned," 15,639 "," 10,107 "," 87,774 ",11.51
City of Escondido,CA,Publicly Owned, 1 , 2 , 130 ,1.54
City of Glendale,CA,Publicly Owned," 70,612 "," 54,257 "," 360,409 ",15.05
City of Gridley,CA,Publicly Owned," 1,943 "," 1,509 "," 19,621 ",7.69
City of Lodi,CA,Publicly Owned," 23,586 "," 21,451 "," 152,769 ",14.04
City of Lompoc,CA,Publicly Owned," 13,443 "," 5,406 "," 57,113 ",9.47
City of Needles,CA,Publicly Owned," 2,376 "," 3,077 "," 33,260 ",9.25
City of Palo Alto,CA,Publicly Owned," 24,283 "," 11,657 "," 153,783 ",7.58
City of Pasadena,CA,Publicly Owned," 51,696 "," 32,132 "," 287,717 ",11.17
City of Redding,CA,Publicly Owned," 35,050 "," 31,845 "," 373,483 ",8.53
City of Riverside,CA,Publicly Owned," 89,315 "," 77,607 "," 679,299 ",11.42
City of Roseville,CA,Publicly Owned," 40,207 "," 31,939 "," 366,693 ",8.71
City of Santa Clara,CA,Publicly Owned," 40,497 "," 17,257 "," 221,661 ",7.79
City of Shasta Lake,CA,Publicly Owned," 3,964 "," 4,616 "," 37,537 ",12.30
City of Ukiah,CA,Publicly Owned," 6,283 "," 4,855 "," 36,234 ",13.40
City of Vernon,CA,Publicly Owned, 27 , 7 , 135 ,5.19
Healdsburg City of,CA,Publicly Owned," 4,398 "," 3,200 "," 25,015 ",12.79
Imperial Irrigation District,CA,Publicly Owned," 96,205 "," 136,270 "," 1,326,361 ",10.27
Lassen Municipal Utility District,CA,Publicly Owned," 9,187 "," 8,411 "," 70,346 ",11.96
Los Angeles City of,CA,Publicly Owned," 1,223,440 "," 795,613 "," 7,792,453 ",10.21
Merced Irrigation District,CA,Publicly Owned," 1,570 "," 1,068 "," 9,102 ",11.73
Modesto Irrigation District,CA,Publicly Owned," 87,865 "," 82,732 "," 844,288 ",9.80
Pacific Gas & Electric Co,CA,Investor Owned," 4,273,842 "," 2,438,300 "," 19,460,983 ",12.53
PacifiCorp,CA,Investor Owned," 33,857 "," 30,676 "," 385,628 ",7.95
Plumas-Sierra Rural Elec Coop,CA,Cooperative," 5,982 "," 5,358 "," 58,396 ",9.18
Sacramento Municipal Util Dist,CA,Publicly Owned," 485,909 "," 443,120 "," 4,376,761 ",10.12
San Diego Gas & Electric Co,CA,Investor Owned," 1,141,934 "," 731,161 "," 4,476,343 ",16.33
Sierra Pacific Power Co,CA,Investor Owned," 39,249 "," 27,270 "," 258,472 ",10.55
Southern California Edison Co,CA,Investor Owned," 3,978,878 "," 2,586,226 "," 21,319,622 ",12.13
Southern California Water Co,CA,Investor Owned," 20,764 "," 12,687 "," 69,497 ",18.26
Surprise Valley Electrification Corp.,CA,Cooperative," 2,617 "," 2,167 "," 29,748 ",7.28
Trinity Public Utilities Dist,CA,Publicly Owned," 5,604 "," 3,602 "," 46,152 ",7.80
Truckee Donner P U D,CA,Publicly Owned," 10,563 "," 8,119 "," 66,272 ",12.25
Turlock Irrigation District,CA,Publicly Owned," 62,813 "," 58,856 "," 599,288 ",9.82
"Valley Electric Assn, Inc",CA,Cooperative, 8 , 9 , 93 ,9.68
Aquila Inc,CO,Investor Owned," 76,713 "," 46,100 "," 546,859 ",8.43
City of Aspen,CO,Publicly Owned," 1,747 "," 1,407 "," 18,923 ",7.44
City of Burlington,CO,Publicly Owned," 1,338 ", 933 ," 10,399 ",8.97
City of Center,CO,Publicly Owned, 860 , 339 ," 5,273 ",6.43
City of Delta,CO,Publicly Owned," 2,066 "," 1,391 "," 14,530 ",9.57
City of Fort Morgan,CO,Publicly Owned," 4,898 "," 2,611 "," 46,508 ",5.61
City of Fountain,CO,Publicly Owned," 12,428 "," 7,139 "," 101,392 ",7.04
City of Gunnison,CO,Publicly Owned," 2,952 "," 1,250 "," 22,762 ",5.49
City of Holyoke,CO,Publicly Owned, 958 , 680 ," 11,086 ",6.13
City of Julesburg,CO,Publicly Owned, 700 , 377 ," 4,625 ",8.15
City of La Junta,CO,Publicly Owned," 2,603 "," 1,707 "," 19,165 ",8.91
City of Lamar,CO,Publicly Owned," 4,370 "," 3,032 "," 33,385 ",9.08
City of Longmont,CO,Publicly Owned," 32,283 "," 15,787 "," 263,784 ",5.98
City of Loveland,CO,Publicly Owned," 24,487 "," 11,642 "," 200,019 ",5.82
City of Springfield,CO,Publicly Owned, 772 , 460 ," 5,413 ",8.50
City of Trinidad,CO,Publicly Owned," 3,692 "," 1,770 "," 20,984 ",8.43
City of Wray,CO,Publicly Owned, 970 , 704 ," 8,296 ",8.49
City of Yuma,CO,Publicly Owned," 1,472 ", 820 ," 10,000 ",8.20
Colorado Springs City of,CO,Publicly Owned," 171,241 "," 91,856 "," 1,291,590 ",7.11
Delta Montrose Electric Assn,CO,Cooperative," 25,241 "," 19,572 "," 217,422 ",9.00
"Empire Electric Assn, Inc",CO,Cooperative," 11,134 "," 8,592 "," 87,964 ",9.77
Fort Collins City of,CO,Publicly Owned," 52,036 "," 26,816 "," 433,488 ",6.19
Glenwood Springs City of,CO,Publicly Owned," 4,282 "," 2,348 "," 30,980 ",7.58
"Grand Valley Rrl Pwr Line, Inc",CO,Cooperative," 11,683 "," 9,811 "," 108,707 ",9.03
Gunnison County Elec Assn.,CO,Cooperative," 7,487 "," 5,586 "," 63,179 ",8.84
"High West Energy, Inc",CO,Cooperative, 594 , 431 ," 5,459 ",7.90
Highline Electric Assn,CO,Cooperative," 4,789 "," 3,543 "," 45,019 ",7.87
"Holy Cross Electric Assn, Inc",CO,Cooperative," 40,412 "," 34,721 "," 481,317 ",7.21
Intermountain Rural Elec Assn,CO,Cooperative," 106,627 "," 93,252 "," 1,125,014 ",8.29
K C Electric Assn,CO,Cooperative," 3,249 "," 3,169 "," 36,972 ",8.57
"La Plata Electric Assn, Inc",CO,Cooperative," 29,592 "," 21,871 "," 223,882 ",9.77
Las Animas City of,CO,Publicly Owned," 1,425 ", 771 ," 9,487 ",8.13
Moon Lake Electric Assn Inc,CO,Cooperative," 1,437 ", 778 ," 12,038 ",6.46
Morgan County Rural Elec Assn,CO,Cooperative," 4,493 "," 4,897 "," 51,456 ",9.52
"Mountain Parks Electric, Inc",CO,Cooperative," 13,663 "," 9,947 "," 119,181 ",8.35
"Mountain View Elec Assn, Inc",CO,Cooperative," 32,372 "," 32,256 "," 336,106 ",9.60
"Poudre Valley R E A, Inc",CO,Cooperative," 29,052 "," 22,721 "," 310,075 ",7.33
Public Service Co of Colorado,CO,Investor Owned," 1,066,468 "," 686,628 "," 8,251,118 ",8.32
"San Isabel Electric Assn, Inc",CO,Cooperative," 17,938 "," 13,790 "," 126,165 ",10.93
"San Luis Valley R E C, Inc",CO,Cooperative," 7,985 "," 6,082 "," 57,207 ",10.63
"San Miguel Power Assn, Inc",CO,Cooperative," 9,026 "," 8,756 "," 81,597 ",10.73
Sangre De Cristo Elec Assn Inc,CO,Cooperative," 9,308 "," 6,649 "," 60,367 ",11.01
Southeast Colorado Power Assn,CO,Cooperative," 7,449 "," 6,458 "," 57,319 ",11.27
Southwestern Electric Coop Inc,CO,Cooperative, 7 , 9 , 60 ,15.00
Town of Estes Park,CO,Publicly Owned," 7,699 "," 4,079 "," 57,527 ",7.09
Town of Fleming,CO,Publicly Owned, 188 , 146 ," 1,415 ",10.32
Town of Frederick,CO,Publicly Owned," 2,146 "," 1,650 "," 18,406 ",8.96
Town of Granada,CO,Publicly Owned, 259 , 212 ," 3,101 ",6.84
Town of Haxtun,CO,Publicly Owned, 571 , 433 ," 4,940 ",8.77
Town of Holly,CO,Publicly Owned, 619 , 306 ," 4,641 ",6.59
Town of Lyons,CO,Publicly Owned, 931 , 455 ," 5,894 ",7.72
Town of Oak Creek,CO,Publicly Owned, 530 , 268 ," 4,201 ",6.38
"Tri-County Electric Coop, Inc",CO,Cooperative, 6 , 10 , 113 ,8.85
"United Power, Inc",CO,Cooperative," 32,731 "," 33,094 "," 390,247 ",8.48
"Wheatland Electric Coop, Inc",CO,Cooperative, 33 , 19 , 168 ,11.31
"White River Electric Assn, Inc",CO,Cooperative," 2,229 "," 1,290 "," 16,046 ",8.04
Yampa Valley Electric Assn Inc,CO,Cooperative," 18,846 "," 14,275 "," 178,538 ",8.00
Y-W Electric Assn Inc,CO,Cooperative," 4,811 "," 3,665 "," 45,430 ",8.07
Bozrah Light & Power Company,CT,Publicly Owned," 2,196 "," 2,450 "," 22,327 ",10.97
